stagione,data,partita,arbitro,mercato,quota,prob_%,edge_%,stake_€,esito,profitto_€
2023-24,2023-08-19T00:00:00.000,Genoa vs Fiorentina,—,2 - Vittoria Ospite,2.23,54.3,21.2,21.51,✓ Vinta,26.46
2023-24,2023-08-19T00:00:00.000,Genoa vs Fiorentina,—,Under 2.5 Gol,1.79,66,18.2,28.75,✗ Persa,-28.75
2023-24,2023-08-19T00:00:00.000,Inter vs Monza,—,2 - Vittoria Ospite,8.76,16.4,43.5,7,✗ Persa,-7
2023-24,2023-08-19T00:00:00.000,Inter vs Monza,—,X - Pareggio,5.1,24.3,24,7.33,✗ Persa,-7.33
2023-24,2023-08-20T00:00:00.000,Lecce vs Lazio,—,Under 2.5 Gol,1.69,69.1,16.7,30.28,✗ Persa,-30.28
2023-24,2023-08-20T00:00:00.000,Roma vs Salernitana,—,2 - Vittoria Ospite,7.16,20.3,45.3,9.2,✗ Persa,-9.2
2023-24,2023-08-20T00:00:00.000,Sassuolo vs Atalanta,—,Over 2.5 Gol,1.63,74.4,21.3,42.27,✗ Persa,-42.27
2023-24,2023-08-20T00:00:00.000,Udinese vs Juventus,—,1 - Vittoria Casa,4.64,26.6,23.3,7.98,✗ Persa,-7.98
2023-24,2023-08-21T00:00:00.000,Bologna vs Milan,—,1 - Vittoria Casa,4.02,33.4,34.2,14.14,✗ Persa,-14.14
2023-24,2023-08-26T00:00:00.000,Milan vs Torino,—,2 - Vittoria Ospite,5.71,21.3,21.9,5.8,✗ Persa,-5.8
2023-24,2023-08-27T00:00:00.000,Juventus vs Bologna,—,2 - Vittoria Ospite,7.08,24,70,14.39,✗ Persa,-14.39
2023-24,2023-08-27T00:00:00.000,Juventus vs Bologna,—,X - Pareggio,4.42,28.7,27,9.88,✓ Vinta,33.79
2023-24,2023-09-01T00:00:00.000,Roma vs Milan,—,X - Pareggio,3.2,40.5,29.6,16.81,✗ Persa,-16.81
2023-24,2023-09-02T00:00:00.000,Atalanta vs Monza,—,2 - Vittoria Ospite,5.32,23,22.4,6.49,✗ Persa,-6.49
2023-24,2023-09-02T00:00:00.000,Atalanta vs Monza,—,Over 2.5 Gol,1.75,66.7,16.7,27.79,✓ Vinta,20.84
2023-24,2023-09-02T00:00:00.000,Napoli vs Lazio,—,Under 2.5 Gol,2.04,64.3,31.2,37.51,✗ Persa,-37.51
2023-24,2023-09-02T00:00:00.000,Napoli vs Lazio,—,2 - Vittoria Ospite,5.73,22.3,27.7,7.33,✓ Vinta,34.67
2023-24,2023-09-02T00:00:00.000,Napoli vs Lazio,—,X - Pareggio,4.19,29.7,24.5,9.61,✗ Persa,-9.61
2023-24,2023-09-03T00:00:00.000,Inter vs Fiorentina,—,2 - Vittoria Ospite,5.29,22.4,18.5,5.39,✗ Persa,-5.39
2023-24,2023-09-03T00:00:00.000,Torino vs Genoa,—,Under 2.5 Gol,1.58,74.8,18.2,39.22,✓ Vinta,22.75
2023-24,2023-09-03T00:00:00.000,Empoli vs Juventus,—,Under 2.5 Gol,1.95,64.2,25.2,33.11,✓ Vinta,31.45
