giornata,data,ora,home,away,status
1,2026-08-22,16:30,Udinese,Como,TIMED
1,2026-08-22,16:30,Inter,Monza,TIMED
1,2026-08-22,18:45,Genoa,Napoli,TIMED
1,2026-08-22,18:45,Parma,Cagliari,TIMED
1,2026-08-23,16:30,Frosinone,Juventus,TIMED
1,2026-08-23,16:30,Venezia,Lecce,TIMED
1,2026-08-23,18:45,Atalanta,Sassuolo,TIMED
1,2026-08-23,18:45,Torino,Milan,TIMED
1,2026-08-24,16:30,Bologna,Lazio,TIMED
1,2026-08-24,18:45,Roma,Fiorentina,TIMED
2,2026-08-28,18:45,Milan,Venezia,TIMED
2,2026-08-29,16:30,Sassuolo,Torino,TIMED
2,2026-08-29,16:30,Monza,Udinese,TIMED
2,2026-08-29,16:30,Fiorentina,Frosinone,TIMED
2,2026-08-29,18:45,Juventus,Parma,TIMED
2,2026-08-30,16:30,Napoli,Como,TIMED
2,2026-08-30,18:45,Lazio,Genoa,TIMED
2,2026-08-30,18:45,Cagliari,Inter,TIMED
2,2026-08-31,16:30,Lecce,Roma,TIMED
2,2026-08-31,18:45,Atalanta,Bologna,TIMED
3,2026-09-04,18:45,Genoa,Como,TIMED
3,2026-09-05,13:00,Fiorentina,Torino,TIMED
3,2026-09-05,16:00,Inter,Napoli,TIMED
3,2026-09-05,18:45,Roma,Atalanta,TIMED
3,2026-09-06,13:00,Parma,Monza,TIMED
3,2026-09-06,13:00,Frosinone,Venezia,TIMED
3,2026-09-06,16:00,Bologna,Sassuolo,TIMED
3,2026-09-06,18:45,Juventus,Milan,TIMED
3,2026-09-07,16:00,Cagliari,Lecce,TIMED
3,2026-09-07,18:45,Udinese,Lazio,TIMED
4,2026-09-11,18:45,Venezia,Fiorentina,TIMED
4,2026-09-12,13:00,Genoa,Frosinone,TIMED
4,2026-09-12,16:00,Lazio,Milan,TIMED
4,2026-09-12,16:00,Sassuolo,Juventus,TIMED
4,2026-09-12,18:45,Atalanta,Cagliari,TIMED
4,2026-09-13,10:30,Torino,Roma,TIMED
4,2026-09-13,13:00,Como,Parma,TIMED
4,2026-09-13,13:00,Lecce,Monza,TIMED
4,2026-09-13,16:00,Napoli,Bologna,TIMED
4,2026-09-14,18:45,Inter,Udinese,TIMED
5,2026-09-18,18:45,Monza,Sassuolo,TIMED
5,2026-09-19,13:00,Bologna,Torino,TIMED
5,2026-09-19,13:00,Udinese,Cagliari,TIMED
5,2026-09-19,16:00,Roma,Inter,TIMED
5,2026-09-19,18:45,Venezia,Lazio,TIMED
5,2026-09-20,10:30,Fiorentina,Napoli,TIMED
5,2026-09-20,13:00,Frosinone,Como,TIMED
5,2026-09-20,13:00,Parma,Genoa,TIMED
5,2026-09-20,16:00,Juventus,Atalanta,TIMED
5,2026-09-20,18:45,Milan,Lecce,TIMED
6,2026-10-11,00:00,Atalanta,Venezia,SCHEDULED
6,2026-10-11,00:00,Sassuolo,Milan,SCHEDULED
6,2026-10-11,00:00,Lecce,Bologna,SCHEDULED
6,2026-10-11,00:00,Inter,Parma,SCHEDULED
6,2026-10-11,00:00,Lazio,Monza,SCHEDULED
6,2026-10-11,00:00,Cagliari,Juventus,SCHEDULED
6,2026-10-11,00:00,Como,Roma,SCHEDULED
6,2026-10-11,00:00,Napoli,Frosinone,SCHEDULED
6,2026-10-11,00:00,Torino,Udinese,SCHEDULED
6,2026-10-11,00:00,Genoa,Fiorentina,SCHEDULED
7,2026-10-18,00:00,Milan,Atalanta,SCHEDULED
7,2026-10-18,00:00,Juventus,Lazio,SCHEDULED
7,2026-10-18,00:00,Bologna,Inter,SCHEDULED
7,2026-10-18,00:00,Roma,Genoa,SCHEDULED
7,2026-10-18,00:00,Frosinone,Sassuolo,SCHEDULED
7,2026-10-18,00:00,Udinese,Lecce,SCHEDULED
7,2026-10-18,00:00,Venezia,Napoli,SCHEDULED
7,2026-10-18,00:00,Monza,Cagliari,SCHEDULED
7,2026-10-18,00:00,Fiorentina,Como,SCHEDULED
7,2026-10-18,00:00,Parma,Torino,SCHEDULED
8,2026-10-25,00:00,Udinese,Milan,SCHEDULED
8,2026-10-25,00:00,Cagliari,Bologna,SCHEDULED
8,2026-10-25,00:00,Como,Sassuolo,SCHEDULED
8,2026-10-25,00:00,Atalanta,Frosinone,SCHEDULED
8,2026-10-25,00:00,Inter,Fiorentina,SCHEDULED
8,2026-10-25,00:00,Napoli,Roma,SCHEDULED
8,2026-10-25,00:00,Lazio,Parma,SCHEDULED
8,2026-10-25,00:00,Lecce,Juventus,SCHEDULED
8,2026-10-25,00:00,Torino,Monza,SCHEDULED
8,2026-10-25,00:00,Genoa,Venezia,SCHEDULED
9,2026-10-28,00:00,Milan,Bologna,SCHEDULED
9,2026-10-28,00:00,Venezia,Inter,SCHEDULED
