date_elo,team_elo,elo
1946-07-07,Bologna,1722.61303711
1946-09-23,Bologna,1732.96716309
1946-09-30,Bologna,1750.48095703
1946-10-07,Bologna,1759.63720703
1946-10-14,Bologna,1755.97912598
1946-10-21,Bologna,1760.36621094
1946-10-28,Bologna,1769.96606445
1946-11-04,Bologna,1775.08178711
1946-11-11,Bologna,1763.0769043
1946-11-13,Bologna,1769.25268555
1946-11-25,Bologna,1770.98022461
1946-12-08,Bologna,1772.98022461
1946-12-09,Bologna,1770.67919922
1946-12-16,Bologna,1764.09765625
1946-12-23,Bologna,1754.90393066
1946-12-30,Bologna,1744.2421875
1947-01-06,Bologna,1753.0526123
1947-01-13,Bologna,1736.55285645
1947-01-20,Bologna,1729.55456543
1947-01-27,Bologna,1735.6472168
1947-02-03,Bologna,1737.00134277
1947-02-17,Bologna,1727.87036133
1947-02-24,Bologna,1723.81835938
1947-03-03,Bologna,1733.07458496
1947-03-10,Bologna,1723.28039551
1947-03-17,Bologna,1712.46386719
1947-03-24,Bologna,1720.19177246
1947-03-31,Bologna,1716.46081543
1947-04-07,Bologna,1716.88537598
1947-04-14,Bologna,1708.97375488
1947-04-21,Bologna,1713.8527832
1947-04-29,Bologna,1716.8527832
1947-05-05,Bologna,1712.4699707
1947-05-15,Bologna,1715.4699707
1947-05-19,Bologna,1720.9342041
1947-05-26,Bologna,1729.99609375
1947-06-02,Bologna,1725.02990723
1947-06-16,Bologna,1727.1496582
1947-06-23,Bologna,1734.53405762
1947-06-30,Bologna,1737.4453125
1947-07-07,Bologna,1733.1282959
1947-09-15,Bologna,1726.79492188
1947-09-22,Bologna,1717.41430664
1947-09-29,Bologna,1724.76196289
1947-10-06,Bologna,1740.26025391
1947-10-13,Bologna,1735.51574707
1947-10-20,Bologna,1732.21606445
1947-10-27,Bologna,1735.89257812
1947-11-03,Bologna,1745.63781738
1947-11-16,Bologna,1716.63781738
1947-11-17,Bologna,1711.20483398
1947-11-24,Bologna,1713.23522949
1947-12-01,Bologna,1719.96044922
1947-12-08,Bologna,1713.90429688
1947-12-19,Bologna,1717.90429688
1947-12-22,Bologna,1721.9642334
1947-12-29,Bologna,1717.55249023
1948-01-02,Bologna,1713.91601562
1948-01-12,Bologna,1715.38671875
1948-01-19,Bologna,1716.57556152
1948-01-26,Bologna,1721.6348877
1948-02-02,Bologna,1734.98657227
1948-02-09,Bologna,1739.5814209
1948-02-16,Bologna,1731.72924805
1948-03-01,Bologna,1726.65588379
1948-03-05,Bologna,1719.78686523
