date_elo,team_elo,elo
1948-07-04,Cremonese,1471.3972168
1948-09-20,Cremonese,1479.07788086
1948-09-27,Cremonese,1483.03466797
1948-10-04,Cremonese,1488.3170166
1948-10-11,Cremonese,1492.25927734
1948-10-18,Cremonese,1480.29052734
1948-10-25,Cremonese,1490.45800781
1948-11-01,Cremonese,1495.77270508
1948-11-05,Cremonese,1501.80358887
1948-11-08,Cremonese,1505.13891602
1948-11-15,Cremonese,1500.0411377
1948-11-22,Cremonese,1494.69299316
1948-11-29,Cremonese,1490.95263672
1948-12-06,Cremonese,1502.23388672
1948-12-13,Cremonese,1508.37780762
1948-12-20,Cremonese,1522.42211914
1948-12-27,Cremonese,1515.73791504
1948-12-31,Cremonese,1520.52429199
1949-01-03,Cremonese,1528.3737793
1949-01-07,Cremonese,1533.21899414
1949-01-10,Cremonese,1525.22375488
1949-01-17,Cremonese,1527.96069336
1949-01-24,Cremonese,1526.30114746
1949-01-31,Cremonese,1531.19433594
1949-02-07,Cremonese,1526.8203125
1949-02-14,Cremonese,1515.33520508
1949-02-21,Cremonese,1508.42578125
1949-03-06,Cremonese,1510.42578125
1949-03-07,Cremonese,1503.78430176
1949-03-14,Cremonese,1491.32861328
1949-03-21,Cremonese,1485.75708008
1949-04-03,Cremonese,1497.75708008
1949-04-04,Cremonese,1509.27502441
1949-04-11,Cremonese,1514.40258789
1949-04-18,Cremonese,1499.52770996
1949-04-25,Cremonese,1493.11975098
1949-05-02,Cremonese,1497.29406738
1949-05-09,Cremonese,1494.15637207
1949-05-16,Cremonese,1489.60253906
1949-05-26,Cremonese,1495.60253906
1949-05-30,Cremonese,1490.58898926
1949-06-06,Cremonese,1494.7208252
1949-06-13,Cremonese,1490.70507812
1949-06-17,Cremonese,1486.70507812
1949-06-20,Cremonese,1491.8302002
1949-06-27,Cremonese,1480.52319336
1949-06-30,Cremonese,1392.33081055
1949-07-03,Cremonese,1398.66821289
1949-07-04,Cremonese,1391.86523438
1949-09-12,Cremonese,1389.87329102
1949-09-19,Cremonese,1406.1217041
1949-09-26,Cremonese,1412.80981445
1949-10-03,Cremonese,1407.34545898
1949-10-10,Cremonese,1402.98840332
1949-10-17,Cremonese,1400.94482422
1949-10-24,Cremonese,1389.68554688
1949-10-31,Cremonese,1385.56530762
1949-11-07,Cremonese,1381.69128418
1949-11-14,Cremonese,1389.22155762
1949-11-21,Cremonese,1396.48461914
1949-11-28,Cremonese,1403.7286377
1949-12-05,Cremonese,1401.13427734
1949-12-09,Cremonese,1405.77526855
1949-12-12,Cremonese,1411.43408203
1949-12-19,Cremonese,1407.50012207
1949-12-27,Cremonese,1414.47436523
1950-01-02,Cremonese,1428.00952148
1950-01-09,Cremonese,1423.99475098
1950-01-16,Cremonese,1430.05285645
1950-01-23,Cremonese,1442.59008789
1950-01-30,Cremonese,1447.9609375
1950-02-06,Cremonese,1441.66052246
1950-02-13,Cremonese,1451.00012207
1950-02-20,Cremonese,1440.54919434
1950-02-27,Cremonese,1434.00683594
1950-03-13,Cremonese,1430.94677734
1950-03-20,Cremonese,1442.4486084
1950-03-27,Cremonese,1446.02807617
1950-04-03,Cremonese,1441.1229248
1950-04-10,Cremonese,1431.82397461
1950-04-17,Cremonese,1430.33764648
1950-04-24,Cremonese,1425.99621582
1950-05-01,Cremonese,1425.91455078
1950-05-08,Cremonese,1430.09985352
1950-05-15,Cremonese,1434.88220215
1950-05-22,Cremonese,1422.78869629
1950-05-29,Cremonese,1420.04248047
1950-06-05,Cremonese,1426.22961426
1950-06-12,Cremonese,1413.83325195
1950-06-15,Cremonese,1386.89477539
1950-06-17,Cremonese,1371.51147461
1950-06-19,Cremonese,1369.70495605
1950-06-26,Cremonese,1366.77722168
1950-09-11,Cremonese,1354.47973633
1950-09-18,Cremonese,1350.26916504
1950-09-25,Cremonese,1344.13366699
1950-10-02,Cremonese,1333.42102051
1950-10-09,Cremonese,1338.31066895
1950-10-16,Cremonese,1344.60717773
1950-10-30,Cremonese,1336.03930664
1950-11-06,Cremonese,1347.80822754
1950-11-13,Cremonese,1348.20458984
1950-11-20,Cremonese,1345.42016602
1950-11-27,Cremonese,1351.64465332
1950-12-04,Cremonese,1347.65893555
1950-12-11,Cremonese,1353.73132324
1950-12-18,Cremonese,1362.59448242
1950-12-25,Cremonese,1371.21728516
1951-01-01,Cremonese,1364.95812988
1951-01-08,Cremonese,1357.17626953
1951-01-15,Cremonese,1354.30493164
1951-01-22,Cremonese,1349.89550781
1951-01-29,Cremonese,1345.81933594
1951-02-05,Cremonese,1340.78540039
1951-02-12,Cremonese,1338.94873047
1951-02-19,Cremonese,1335.64343262
1951-02-26,Cremonese,1333.26452637
1951-03-05,Cremonese,1339.02819824
1951-03-12,Cremonese,1329.27185059
1951-03-26,Cremonese,1327.47277832
1951-04-02,Cremonese,1321.73388672
1951-04-09,Cremonese,1319.39953613
1951-04-16,Cremonese,1324.81384277
1951-04-23,Cremonese,1334.02368164
1951-04-30,Cremonese,1331.30065918
1951-05-07,Cremonese,1335.98864746
1951-05-14,Cremonese,1332.97485352
1951-05-21,Cremonese,1329.0291748
1951-05-28,Cremonese,1334.58544922
1951-06-04,Cremonese,1329.7923584
1951-06-11,Cremonese,1326.04724121
1951-06-18,Cremonese,1321.05151367
1951-06-21,Cremonese,1344.40429688
1951-06-25,Cremonese,1341.23937988
1977-07-01,Cremonese,1359.22558594
1977-09-12,Cremonese,1364.01708984
1977-09-15,Cremonese,1352.07226562
1977-09-19,Cremonese,1358.61486816
1977-09-26,Cremonese,1371.33508301
1977-09-29,Cremonese,1378.7857666
1977-10-03,Cremonese,1374.72119141
1977-10-10,Cremonese,1366.38720703
1977-10-17,Cremonese,1356.37060547
1977-10-20,Cremonese,1359.6685791
1977-10-24,Cremonese,1355.17773438
1977-10-31,Cremonese,1353.07324219
1977-11-03,Cremonese,1337.29333496
1977-11-07,Cremonese,1340.37866211
1977-11-14,Cremonese,1337.89941406
1977-11-21,Cremonese,1331.06604004
1977-11-24,Cremonese,1330.62792969
1977-11-28,Cremonese,1338.61779785
1977-12-05,Cremonese,1344.77038574
1977-12-08,Cremonese,1332.36950684
1977-12-12,Cremonese,1329.29382324
1977-12-19,Cremonese,1338.12182617
1978-01-01,Cremonese,1333.95007324
1978-01-09,Cremonese,1332.71618652
1978-01-16,Cremonese,1330.81848145
1978-01-23,Cremonese,1326.98852539
1978-01-30,Cremonese,1334.04064941
1978-02-06,Cremonese,1338.92529297
1978-02-13,Cremonese,1337.07006836
1978-02-20,Cremonese,1345.37255859
1978-02-27,Cremonese,1342.07800293
1978-03-02,Cremonese,1345.18151855
1978-03-06,Cremonese,1340.95336914
1978-03-13,Cremonese,1337.8984375
1978-03-16,Cremonese,1333.36584473
1978-03-27,Cremonese,1329.1192627
1978-03-30,Cremonese,1329.5579834
1978-04-03,Cremonese,1317.35754395
1978-04-10,Cremonese,1322.73181152
1978-04-13,Cremonese,1316.14257812
1978-04-17,Cremonese,1325.76953125
1978-04-24,Cremonese,1322.25500488
1978-05-01,Cremonese,1322.93347168
1978-05-08,Cremonese,1322.60974121
1978-05-15,Cremonese,1328.76806641
1978-05-22,Cremonese,1339.55651855
1978-05-29,Cremonese,1335.40686035
1978-06-05,Cremonese,1340.45178223
1978-06-12,Cremonese,1351.6940918
1981-07-01,Cremonese,1323.37878418
1981-09-14,Cremonese,1318.86303711
1981-09-17,Cremonese,1314.51342773
1981-09-21,Cremonese,1316.96484375
1981-09-28,Cremonese,1307.36767578
1981-10-01,Cremonese,1313.56640625
1981-10-05,Cremonese,1318.17822266
1981-10-12,Cremonese,1327.87304688
1981-10-19,Cremonese,1321.44641113
1981-10-22,Cremonese,1308.63867188
1981-10-26,Cremonese,1308.67871094
1981-11-02,Cremonese,1305.1920166
1981-11-05,Cremonese,1294.88635254
1981-11-09,Cremonese,1294.23864746
1981-11-16,Cremonese,1301.1315918
1981-11-23,Cremonese,1305.55603027
1981-11-30,Cremonese,1300.54858398
1981-12-07,Cremonese,1308.04638672
1981-12-14,Cremonese,1325.76708984
1981-12-21,Cremonese,1324.01745605
1982-01-04,Cremonese,1318.60571289
1982-01-11,Cremonese,1319.35510254
1982-01-18,Cremonese,1318.29772949
1982-01-25,Cremonese,1313.21716309
1982-02-08,Cremonese,1312.4284668
1982-02-15,Cremonese,1318.63366699
1982-02-22,Cremonese,1327.15002441
1982-03-01,Cremonese,1308.29638672
1982-03-08,Cremonese,1310.94995117
1982-03-15,Cremonese,1319.29052734
1982-03-22,Cremonese,1314.54907227
