date_elo,team_elo,elo
1946-07-07,Fiorentina,1722.61303711
1946-09-23,Fiorentina,1719.81176758
1946-09-30,Fiorentina,1714.51672363
1946-10-07,Fiorentina,1711.9934082
1946-10-14,Fiorentina,1705.63598633
1946-10-21,Fiorentina,1696.37353516
1946-10-28,Fiorentina,1701.96337891
1946-11-04,Fiorentina,1692.71887207
1946-11-11,Fiorentina,1699.63757324
1946-11-13,Fiorentina,1710.53625488
1946-11-25,Fiorentina,1704.67297363
1946-12-08,Fiorentina,1706.67297363
1946-12-09,Fiorentina,1711.69335938
1946-12-16,Fiorentina,1720.59533691
1946-12-23,Fiorentina,1712.43200684
1946-12-30,Fiorentina,1705.49291992
1947-01-06,Fiorentina,1711.30639648
1947-01-13,Fiorentina,1696.00390625
1947-01-20,Fiorentina,1685.19995117
1947-01-27,Fiorentina,1681.38220215
1947-02-03,Fiorentina,1680.02819824
1947-02-17,Fiorentina,1670.01977539
1947-02-24,Fiorentina,1676.84509277
1947-03-03,Fiorentina,1672.78967285
1947-03-10,Fiorentina,1681.29882812
1947-03-17,Fiorentina,1676.03540039
1947-03-24,Fiorentina,1678.02282715
1947-03-31,Fiorentina,1675.48742676
1947-04-07,Fiorentina,1679.85095215
1947-04-14,Fiorentina,1675.84936523
1947-04-21,Fiorentina,1682.75976562
1947-04-29,Fiorentina,1685.75976562
1947-05-05,Fiorentina,1689.91967773
1947-05-15,Fiorentina,1692.91967773
1947-05-19,Fiorentina,1684.89257812
1947-05-26,Fiorentina,1673.06677246
1947-06-02,Fiorentina,1670.15588379
1947-06-09,Fiorentina,1674.67687988
1947-06-16,Fiorentina,1680.62597656
1947-06-23,Fiorentina,1678.80908203
1947-06-30,Fiorentina,1686.62451172
1947-07-07,Fiorentina,1690.94152832
1947-09-15,Fiorentina,1695.95275879
1947-09-22,Fiorentina,1701.4005127
1947-09-29,Fiorentina,1709.41894531
1947-10-06,Fiorentina,1701.59863281
1947-10-13,Fiorentina,1706.27770996
1947-10-20,Fiorentina,1697.86572266
1947-10-27,Fiorentina,1701.06115723
1947-11-03,Fiorentina,1697.44287109
1947-11-16,Fiorentina,1668.44287109
1947-11-17,Fiorentina,1663.56323242
1947-11-24,Fiorentina,1661.53271484
1947-12-01,Fiorentina,1654.81958008
1947-12-19,Fiorentina,1658.81958008
1947-12-22,Fiorentina,1664.31884766
1947-12-29,Fiorentina,1667.12585449
1948-01-02,Fiorentina,1663.85314941
1948-01-05,Fiorentina,1671.30737305
1948-01-12,Fiorentina,1666.86791992
1948-01-19,Fiorentina,1674.66516113
1948-01-26,Fiorentina,1683.40795898
1948-02-02,Fiorentina,1694.24853516
1948-02-09,Fiorentina,1681.84960938
1948-02-16,Fiorentina,1692.81774902
1948-02-23,Fiorentina,1701.15466309
1948-03-01,Fiorentina,1698.98034668
1948-03-08,Fiorentina,1701.83862305
1948-03-15,Fiorentina,1692.0748291
1948-03-22,Fiorentina,1695.82434082
1948-03-29,Fiorentina,1685.3059082
1948-04-06,Fiorentina,1691.3059082
1948-04-12,Fiorentina,1694.58752441
1948-04-17,Fiorentina,1699.54260254
1948-04-26,Fiorentina,1695.86523438
1948-05-03,Fiorentina,1699.92919922
1948-05-10,Fiorentina,1694.99731445
1948-05-18,Fiorentina,1667.99731445
1948-05-24,Fiorentina,1672.02087402
1948-05-28,Fiorentina,1666.51977539
1948-05-31,Fiorentina,1658.64953613
1948-06-07,Fiorentina,1646.03796387
1948-06-14,Fiorentina,1642.88134766
1948-06-21,Fiorentina,1634.77307129
1948-06-28,Fiorentina,1643.69567871
1948-07-05,Fiorentina,1653.62915039
1948-09-20,Fiorentina,1627.72070312
1948-09-27,Fiorentina,1625.76831055
1948-10-04,Fiorentina,1630.38659668
1948-10-11,Fiorentina,1634.7454834
1948-10-18,Fiorentina,1639.14904785
1948-10-25,Fiorentina,1629.55615234
1948-11-01,Fiorentina,1633.46789551
1948-11-05,Fiorentina,1649.69433594
1948-11-08,Fiorentina,1659.10632324
1948-11-15,Fiorentina,1650.15637207
1948-11-22,Fiorentina,1655.98986816
1948-11-29,Fiorentina,1659.64086914
1948-12-06,Fiorentina,1665.46154785
1948-12-09,Fiorentina,1661.78356934
1948-12-13,Fiorentina,1656.54321289
1948-12-20,Fiorentina,1660.05493164
1948-12-27,Fiorentina,1651.5456543
1949-01-03,Fiorentina,1658.90222168
1949-01-07,Fiorentina,1651.10852051
1949-01-10,Fiorentina,1664.51135254
1949-01-17,Fiorentina,1661.87158203
1949-01-24,Fiorentina,1658.76635742
1949-01-31,Fiorentina,1639.69250488
1949-02-07,Fiorentina,1630.85375977
1949-02-14,Fiorentina,1625.13696289
1949-02-21,Fiorentina,1628.43408203
1949-03-06,Fiorentina,1630.43408203
1949-03-07,Fiorentina,1634.63427734
1949-03-14,Fiorentina,1631.95776367
1949-03-21,Fiorentina,1635.57470703
1949-04-03,Fiorentina,1647.57470703
1949-04-04,Fiorentina,1651.62060547
1949-04-11,Fiorentina,1656.51477051
1949-04-18,Fiorentina,1651.90856934
1949-04-26,Fiorentina,1663.93530273
1949-05-01,Fiorentina,1668.54797363
1949-05-16,Fiorentina,1673.83654785
1949-05-26,Fiorentina,1679.83654785
1949-05-30,Fiorentina,1676.14001465
1949-06-06,Fiorentina,1663.046875
1949-06-13,Fiorentina,1661.96655273
1949-06-17,Fiorentina,1657.96655273
1949-06-30,Fiorentina,1569.77416992
1949-07-03,Fiorentina,1576.11157227
1949-09-12,Fiorentina,1572.13415527
1949-09-19,Fiorentina,1577.89465332
1949-09-26,Fiorentina,1582.64001465
1949-10-03,Fiorentina,1587.2902832
1949-10-10,Fiorentina,1582.69421387
1949-10-17,Fiorentina,1592.13110352
1949-10-21,Fiorentina,1585.62145996
1949-10-24,Fiorentina,1591.99047852
1949-10-31,Fiorentina,1607.65466309
1949-11-07,Fiorentina,1612.68225098
1949-11-14,Fiorentina,1606.09680176
1949-11-21,Fiorentina,1602.60180664
1949-12-05,Fiorentina,1606.31799316
1949-12-09,Fiorentina,1611.80517578
1949-12-12,Fiorentina,1616.54675293
1949-12-19,Fiorentina,1623.86865234
1949-12-27,Fiorentina,1617.4284668
1950-01-02,Fiorentina,1621.69042969
1950-01-09,Fiorentina,1625.08447266
1950-01-16,Fiorentina,1624.09387207
1950-01-23,Fiorentina,1631.32324219
1950-01-30,Fiorentina,1634.21374512
1950-02-06,Fiorentina,1637.0456543
1950-02-13,Fiorentina,1640.36279297
1950-02-20,Fiorentina,1637.39355469
1950-02-24,Fiorentina,1623.42346191
1950-02-27,Fiorentina,1618.73669434
1950-03-13,Fiorentina,1622.75720215
1950-03-20,Fiorentina,1632.40588379
1950-03-27,Fiorentina,1636.45825195
1950-04-11,Fiorentina,1625.42468262
1950-04-17,Fiorentina,1621.21984863
1950-04-24,Fiorentina,1610.62268066
1950-05-01,Fiorentina,1607.18774414
1950-05-08,Fiorentina,1616.31188965
1950-05-15,Fiorentina,1626.71569824
1950-05-22,Fiorentina,1631.53222656
1950-05-29,Fiorentina,1622.25634766
1950-06-15,Fiorentina,1595.31799316
1950-06-17,Fiorentina,1579.93469238
1950-09-11,Fiorentina,1576.11230469
1950-09-18,Fiorentina,1573.23901367
1950-09-25,Fiorentina,1569.39355469
1950-10-02,Fiorentina,1572.44360352
1950-10-09,Fiorentina,1575.13330078
1950-10-16,Fiorentina,1567.83984375
1950-10-23,Fiorentina,1558.98706055
1950-10-30,Fiorentina,1562.4543457
1950-11-06,Fiorentina,1559.36791992
1950-11-13,Fiorentina,1564.49304199
1950-11-20,Fiorentina,1567.59545898
1950-11-27,Fiorentina,1559.64208984
1950-12-04,Fiorentina,1571.8807373
1950-12-11,Fiorentina,1566.95703125
1950-12-18,Fiorentina,1569.53259277
1950-12-25,Fiorentina,1572.54077148
1951-01-01,Fiorentina,1571.40307617
1951-01-08,Fiorentina,1573.51037598
1951-01-15,Fiorentina,1567.35644531
1951-01-22,Fiorentina,1573.5880127
1951-01-29,Fiorentina,1578.36450195
1951-02-05,Fiorentina,1584.91320801
1951-02-12,Fiorentina,1598.18811035
1951-02-19,Fiorentina,1600.04138184
1951-02-26,Fiorentina,1596.94177246
1951-03-05,Fiorentina,1600.36999512
1951-03-12,Fiorentina,1615.69897461
1951-03-19,Fiorentina,1619.71350098
1951-03-26,Fiorentina,1622.12561035
1951-04-02,Fiorentina,1625.11779785
1951-04-16,Fiorentina,1622.64477539
1951-04-23,Fiorentina,1625.42138672
1951-04-30,Fiorentina,1628.5489502
1951-05-14,Fiorentina,1638.41088867
1951-05-21,Fiorentina,1631.42993164
1951-05-28,Fiorentina,1631.69091797
1951-06-11,Fiorentina,1618.49365234
1951-06-18,Fiorentina,1620.31689453
1951-06-21,Fiorentina,1643.6697998
1951-06-25,Fiorentina,1656.4197998
1951-09-10,Fiorentina,1647.31091309
1951-09-17,Fiorentina,1640.7989502
1951-09-24,Fiorentina,1642.80102539
1951-10-01,Fiorentina,1631.06164551
1951-10-08,Fiorentina,1649.27770996
1951-10-15,Fiorentina,1642.96972656
1951-10-22,Fiorentina,1644.42578125
1951-10-29,Fiorentina,1630.6829834
1951-11-05,Fiorentina,1646.04736328
1951-11-19,Fiorentina,1649.14123535
1951-12-03,Fiorentina,1641.75830078
1951-12-10,Fiorentina,1627.14013672
1951-12-17,Fiorentina,1622.54943848
1951-12-31,Fiorentina,1624.93139648
1952-01-07,Fiorentina,1628.38525391
1952-01-14,Fiorentina,1624.05029297
1952-01-21,Fiorentina,1620.57836914
1952-01-28,Fiorentina,1629.57019043
1952-02-01,Fiorentina,1636.79101562
