date_elo,team_elo,elo
1946-07-07,Genoa,1722.61303711
1946-09-23,Genoa,1732.96716309
1946-09-30,Genoa,1727.20361328
1946-10-07,Genoa,1724.14709473
1946-10-14,Genoa,1727.80517578
1946-10-21,Genoa,1724.91235352
1946-10-28,Genoa,1719.63317871
1946-11-04,Genoa,1710.47399902
1946-11-11,Genoa,1717.4206543
1946-11-13,Genoa,1715.42822266
1946-11-25,Genoa,1709.49316406
1946-12-08,Genoa,1711.49316406
1946-12-09,Genoa,1720.95739746
1946-12-16,Genoa,1712.53466797
1946-12-23,Genoa,1721.93017578
1946-12-30,Genoa,1724.36999512
1947-01-06,Genoa,1716.24584961
1947-01-13,Genoa,1711.34069824
1947-01-20,Genoa,1722.14453125
1947-01-27,Genoa,1723.60803223
1947-02-03,Genoa,1729.62390137
1947-02-17,Genoa,1714.78100586
1947-02-24,Genoa,1719.5078125
1947-03-03,Genoa,1714.23364258
1947-03-10,Genoa,1724.02783203
1947-03-17,Genoa,1727.04663086
1947-03-24,Genoa,1733.76049805
1947-03-31,Genoa,1722.68164062
1947-04-07,Genoa,1719.17272949
1947-04-14,Genoa,1715.65942383
1947-04-21,Genoa,1712.73022461
1947-04-29,Genoa,1715.73022461
1947-05-05,Genoa,1718.57873535
1947-05-15,Genoa,1721.57873535
1947-05-19,Genoa,1709.40258789
1947-05-26,Genoa,1719.44238281
1947-06-02,Genoa,1726.13439941
1947-06-09,Genoa,1720.7434082
1947-06-16,Genoa,1725.75585938
1947-06-23,Genoa,1727.57275391
1947-06-30,Genoa,1730.97766113
1947-07-07,Genoa,1722.48754883
1947-09-15,Genoa,1734.65063477
1947-09-22,Genoa,1738.89746094
1947-09-29,Genoa,1731.22558594
1947-10-06,Genoa,1726.66369629
1947-10-13,Genoa,1734.4901123
1947-10-20,Genoa,1730.61254883
1947-10-27,Genoa,1737.45202637
1947-11-16,Genoa,1708.45202637
1947-11-17,Genoa,1712.03271484
1947-11-24,Genoa,1708.03759766
1947-12-01,Genoa,1699.89221191
1947-12-08,Genoa,1708.87792969
1947-12-19,Genoa,1712.87792969
1947-12-22,Genoa,1708.22436523
1948-01-02,Genoa,1694.82165527
1948-01-05,Genoa,1678.21704102
1948-01-12,Genoa,1675.2833252
1948-01-19,Genoa,1673.89208984
1948-01-26,Genoa,1668.42724609
1948-02-02,Genoa,1657.58666992
1948-02-09,Genoa,1652.99194336
1948-02-16,Genoa,1647.42443848
1948-02-23,Genoa,1639.36877441
1948-03-01,Genoa,1637.33337402
1948-03-08,Genoa,1650.74926758
1948-03-15,Genoa,1655.60546875
1948-03-22,Genoa,1665.45861816
1948-03-29,Genoa,1658.1126709
1948-04-06,Genoa,1664.1126709
1948-04-23,Genoa,1668.57275391
1948-04-26,Genoa,1673.34069824
1948-05-03,Genoa,1678.98608398
1948-05-07,Genoa,1696.33740234
1948-05-10,Genoa,1699.44641113
1948-05-18,Genoa,1672.44641113
1948-05-24,Genoa,1667.31665039
1948-05-28,Genoa,1671.01599121
1948-05-31,Genoa,1662.48449707
1948-06-07,Genoa,1659.07434082
1948-06-14,Genoa,1654.08398438
1948-06-21,Genoa,1658.82543945
1948-06-28,Genoa,1649.90283203
1948-07-05,Genoa,1659.6697998
1948-09-20,Genoa,1663.75512695
1948-09-27,Genoa,1667.35974121
1948-10-04,Genoa,1673.54711914
1948-10-11,Genoa,1677.04992676
1948-10-18,Genoa,1668.55407715
1948-10-25,Genoa,1675.84289551
1948-11-01,Genoa,1671.26660156
1948-11-05,Genoa,1664.53479004
1948-11-08,Genoa,1667.10693359
