date_elo,team_elo,elo
1946-07-07,Lazio,1722.61303711
1946-09-23,Lazio,1737.02172852
1946-09-30,Lazio,1726.25390625
1946-10-07,Lazio,1716.95544434
1946-10-14,Lazio,1707.16186523
1946-10-21,Lazio,1716.70019531
1946-10-28,Lazio,1707.2623291
1946-11-04,Lazio,1710.34912109
1946-11-11,Lazio,1721.91772461
1946-11-13,Lazio,1715.74194336
1946-11-25,Lazio,1721.04870605
1946-12-08,Lazio,1723.04870605
1946-12-09,Lazio,1713.58435059
1946-12-16,Lazio,1704.68249512
1946-12-23,Lazio,1702.890625
1946-12-30,Lazio,1712.84985352
1947-01-06,Lazio,1708.91845703
1947-01-13,Lazio,1715.76501465
1947-01-20,Lazio,1717.45153809
1947-01-27,Lazio,1724.58129883
1947-02-03,Lazio,1716.43493652
1947-02-17,Lazio,1706.82873535
1947-02-24,Lazio,1701.11132812
1947-03-03,Lazio,1698.06335449
1947-03-10,Lazio,1694.64562988
1947-03-17,Lazio,1686.46337891
1947-03-24,Lazio,1676.63513184
1947-03-31,Lazio,1686.90771484
1947-04-07,Lazio,1691.18554688
1947-04-14,Lazio,1699.09716797
1947-04-21,Lazio,1702.78088379
1947-04-29,Lazio,1705.78088379
1947-05-05,Lazio,1702.93237305
1947-05-15,Lazio,1705.93237305
1947-05-19,Lazio,1713.95947266
1947-05-26,Lazio,1719.44396973
1947-06-02,Lazio,1716.06213379
1947-06-09,Lazio,1719.48742676
1947-06-16,Lazio,1729.25915527
1947-06-23,Lazio,1733.4798584
1947-06-30,Lazio,1728.29699707
1947-07-07,Lazio,1733.90686035
1947-09-15,Lazio,1725.26928711
1947-09-22,Lazio,1712.55297852
1947-09-29,Lazio,1719.90759277
1947-10-06,Lazio,1722.41235352
1947-10-13,Lazio,1725.19677734
1947-10-20,Lazio,1731.50878906
1947-10-27,Lazio,1724.66931152
1947-11-03,Lazio,1730.51708984
1947-11-16,Lazio,1701.51708984
1947-11-17,Lazio,1689.27392578
1947-11-24,Lazio,1681.66210938
1947-12-01,Lazio,1677.92138672
1947-12-08,Lazio,1680.69470215
1947-12-19,Lazio,1684.69470215
1947-12-22,Lazio,1680.92993164
1947-12-29,Lazio,1685.3416748
1948-01-02,Lazio,1687.97351074
1948-01-05,Lazio,1690.27954102
1948-01-12,Lazio,1684.62536621
1948-01-19,Lazio,1689.3939209
1948-01-26,Lazio,1680.65124512
1948-02-09,Lazio,1675.20263672
1948-02-16,Lazio,1671.52270508
1948-02-23,Lazio,1675.47351074
1948-03-01,Lazio,1670.6003418
1948-03-08,Lazio,1666.19641113
1948-03-15,Lazio,1668.42797852
1948-03-22,Lazio,1672.90393066
1948-03-29,Lazio,1680.24987793
1948-04-06,Lazio,1686.24987793
1948-04-12,Lazio,1685.28088379
1948-04-22,Lazio,1700.49841309
1948-04-26,Lazio,1706.36120605
1948-05-03,Lazio,1697.34265137
1948-05-07,Lazio,1704.08312988
1948-05-10,Lazio,1698.3449707
1948-05-18,Lazio,1671.3449707
1948-05-24,Lazio,1676.27185059
1948-05-28,Lazio,1669.44799805
1948-05-31,Lazio,1668.39221191
1948-06-07,Lazio,1671.10620117
1948-06-14,Lazio,1673.62072754
1948-06-21,Lazio,1681.72900391
1948-07-05,Lazio,1676.93676758
1948-09-20,Lazio,1657.33972168
1948-09-27,Lazio,1645.83935547
1948-10-04,Lazio,1641.98486328
1948-10-11,Lazio,1637.59057617
1948-10-18,Lazio,1641.61828613
1948-10-25,Lazio,1638.6550293
1948-11-01,Lazio,1631.84765625
1948-11-05,Lazio,1627.23217773
1948-11-08,Lazio,1626.43774414
1948-11-15,Lazio,1623.02868652
1948-11-22,Lazio,1635.24243164
1948-11-29,Lazio,1638.06066895
1948-12-06,Lazio,1617.91674805
1948-12-09,Lazio,1611.88671875
1948-12-13,Lazio,1608.23791504
1948-12-20,Lazio,1620.61767578
1948-12-27,Lazio,1629.98327637
1949-01-03,Lazio,1622.62670898
1949-01-07,Lazio,1625.3092041
1949-01-10,Lazio,1621.28735352
1949-01-17,Lazio,1615.59533691
1949-01-24,Lazio,1613.43347168
1949-01-31,Lazio,1617.77172852
1949-02-07,Lazio,1613.43237305
1949-02-14,Lazio,1617.63195801
1949-02-21,Lazio,1624.01928711
1949-03-06,Lazio,1626.01928711
1949-03-14,Lazio,1629.3861084
1949-03-21,Lazio,1639.5958252
1949-03-28,Lazio,1643.70861816
1949-04-03,Lazio,1655.70861816
1949-04-04,Lazio,1651.41625977
1949-04-11,Lazio,1655.3157959
1949-04-18,Lazio,1666.31274414
1949-04-25,Lazio,1674.15576172
1949-05-01,Lazio,1665.10339355
1949-05-09,Lazio,1658.58898926
1949-05-16,Lazio,1664.15649414
1949-05-26,Lazio,1670.15649414
1949-05-30,Lazio,1673.85290527
1949-06-06,Lazio,1677.36535645
1949-06-17,Lazio,1673.36535645
1949-06-30,Lazio,1585.17285156
1949-07-03,Lazio,1591.51025391
1949-09-12,Lazio,1595.43591309
1949-09-19,Lazio,1580.61437988
1949-09-26,Lazio,1577.01989746
