date_elo,team_elo,elo
1946-07-07,Milan,1722.61303711
1946-09-23,Milan,1712.42468262
1946-10-07,Milan,1710.54626465
1946-10-14,Milan,1705.6204834
1946-10-21,Milan,1713.31115723
1946-10-28,Milan,1715.89306641
1946-11-04,Milan,1730.27490234
1946-11-11,Milan,1738.01159668
1946-11-13,Milan,1735.00793457
1946-11-25,Milan,1730.09838867
1946-12-08,Milan,1732.09838867
1946-12-09,Milan,1736.63684082
1946-12-16,Milan,1745.05969238
1946-12-23,Milan,1746.8515625
1946-12-30,Milan,1757.51318359
1947-01-02,Milan,1763.87133789
1947-01-06,Milan,1771.50891113
1947-01-13,Milan,1786.81152344
1947-01-20,Milan,1770.34399414
1947-01-27,Milan,1761.21264648
1947-02-03,Milan,1763.6517334
1947-02-17,Milan,1772.26147461
1947-02-20,Milan,1779.82507324
1947-03-03,Milan,1791.13085938
1947-03-10,Milan,1795.09692383
1947-03-17,Milan,1803.74291992
1947-03-24,Milan,1806.35412598
1947-03-31,Milan,1800.83813477
1947-04-07,Milan,1800.57434082
1947-04-14,Milan,1800.90917969
1947-04-21,Milan,1797.90710449
1947-04-29,Milan,1800.90710449
1947-05-05,Milan,1800.88464355
1947-05-15,Milan,1803.88464355
1947-05-19,Milan,1816.06091309
1947-05-26,Milan,1810.57641602
1947-06-02,Milan,1815.54248047
1947-06-09,Milan,1801.76000977
1947-06-16,Milan,1795.81091309
1947-06-23,Milan,1810.77746582
1947-06-30,Milan,1804.30871582
1947-07-07,Milan,1808.69372559
1947-09-15,Milan,1817.33129883
1947-09-22,Milan,1819.53820801
1947-09-29,Milan,1811.51977539
1947-10-06,Milan,1816.08166504
1947-10-13,Milan,1815.92602539
1947-10-20,Milan,1819.22570801
1947-10-27,Milan,1804.18103027
1947-11-03,Milan,1808.37097168
1947-11-16,Milan,1779.37097168
1947-11-17,Milan,1782.18713379
1947-11-24,Milan,1795.74279785
1947-12-01,Milan,1792.17712402
1947-12-08,Milan,1803.23278809
1947-12-19,Milan,1807.23278809
1947-12-29,Milan,1810.75402832
1948-01-02,Milan,1809.36401367
1948-01-05,Milan,1815.11962891
1948-01-12,Milan,1817.11950684
1948-01-19,Milan,1826.33227539
1948-01-26,Milan,1832.58398438
1948-02-02,Milan,1831.07629395
1948-02-09,Milan,1830.53686523
1948-02-16,Milan,1834.21679688
1948-02-23,Milan,1840.12426758
1948-03-01,Milan,1842.29858398
