date_elo,team_elo,elo
1946-07-07,Napoli,1722.61303711
1946-09-23,Napoli,1732.96716309
1946-09-30,Napoli,1727.20361328
1946-10-07,Napoli,1715.41320801
1946-10-14,Napoli,1720.15551758
1946-10-21,Napoli,1717.46923828
1946-10-28,Napoli,1713.0123291
1946-11-04,Napoli,1720.15649414
1946-11-11,Napoli,1717.07434082
1946-11-13,Napoli,1723.90100098
1946-11-25,Napoli,1718.59423828
1946-12-08,Napoli,1720.59423828
1946-12-09,Napoli,1715.36669922
1946-12-16,Napoli,1714.68029785
1946-12-23,Napoli,1723.87414551
1946-12-30,Napoli,1733.76525879
1947-01-06,Napoli,1727.95178223
1947-01-13,Napoli,1732.85693359
1947-01-20,Napoli,1735.69836426
1947-01-27,Napoli,1746.09387207
1947-02-03,Napoli,1743.65490723
1947-02-17,Napoli,1745.95727539
1947-02-24,Napoli,1749.39257812
1947-03-03,Napoli,1755.84362793
1947-03-10,Napoli,1742.38500977
1947-03-17,Napoli,1732.02990723
1947-03-24,Napoli,1730.35742188
1947-03-31,Napoli,1717.48681641
1947-04-07,Napoli,1727.48852539
1947-04-14,Napoli,1722.25744629
1947-04-21,Napoli,1718.57373047
1947-04-29,Napoli,1721.57373047
1947-05-05,Napoli,1732.4822998
1947-05-15,Napoli,1735.4822998
1947-05-19,Napoli,1732.96557617
1947-05-26,Napoli,1723.90368652
1947-06-02,Napoli,1728.95874023
1947-06-09,Napoli,1724.43774414
1947-06-16,Napoli,1719.42529297
1947-06-23,Napoli,1699.4140625
1947-06-30,Napoli,1704.95336914
1947-07-07,Napoli,1700.56835938
1947-09-15,Napoli,1697.25891113
1947-09-22,Napoli,1693.01208496
1947-10-06,Napoli,1690.50720215
1947-10-13,Napoli,1685.828125
1947-10-20,Napoli,1683.76452637
1947-10-27,Napoli,1673.86010742
1947-11-03,Napoli,1675.27807617
1947-11-16,Napoli,1646.27807617
1947-11-17,Napoli,1647.31494141
1947-11-24,Napoli,1650.86096191
1947-12-01,Napoli,1645.9720459
1947-12-08,Napoli,1661.71313477
1947-12-19,Napoli,1665.71313477
1947-12-22,Napoli,1654.73400879
1947-12-29,Napoli,1650.24511719
1948-01-02,Napoli,1646.26928711
1948-01-05,Napoli,1640.91503906
1948-01-12,Napoli,1639.44445801
1948-01-19,Napoli,1630.23168945
1948-01-26,Napoli,1644.66967773
1948-02-02,Napoli,1638.04382324
1948-02-09,Napoli,1633.20654297
1948-02-16,Napoli,1637.19543457
1948-02-23,Napoli,1645.25109863
1948-03-08,Napoli,1649.65515137
1948-03-15,Napoli,1659.41906738
1948-03-22,Napoli,1654.2364502
1948-03-29,Napoli,1658.85888672
1948-04-06,Napoli,1664.85888672
1948-04-12,Napoli,1659.41638184
1948-04-22,Napoli,1679.95507812
1948-04-26,Napoli,1671.66308594
1948-05-03,Napoli,1678.11010742
1948-05-07,Napoli,1675.05615234
1948-05-10,Napoli,1670.14001465
1948-05-18,Napoli,1643.14001465
1948-05-24,Napoli,1650.26550293
1948-05-28,Napoli,1647.69519043
1948-05-31,Napoli,1652.28637695
1948-06-07,Napoli,1665.28747559
1948-06-14,Napoli,1660.67138672
1948-06-21,Napoli,1656.4588623
1948-06-28,Napoli,1663.12634277
1948-07-05,Napoli,1667.18041992
1948-09-20,Napoli,1659.49975586
1948-09-27,Napoli,1661.10131836
1948-10-04,Napoli,1652.36657715
1948-10-11,Napoli,1645.4597168
1948-10-18,Napoli,1644.60620117
1948-10-25,Napoli,1647.64465332
1948-11-01,Napoli,1656.19750977
1948-11-05,Napoli,1657.91699219
1948-11-08,Napoli,1659.58300781
1948-11-15,Napoli,1661.3996582
1948-11-22,Napoli,1660.56054688
1948-11-29,Napoli,1662.46057129
1948-12-06,Napoli,1662.9083252
1948-12-13,Napoli,1654.96179199
1948-12-20,Napoli,1646.50256348
1948-12-27,Napoli,1631.32312012
1948-12-31,Napoli,1624.4732666
1949-01-03,Napoli,1628.4107666
1949-01-07,Napoli,1617.64611816
1949-01-10,Napoli,1619.32092285
1949-01-17,Napoli,1630.42272949
1949-01-24,Napoli,1632.08215332
1949-01-31,Napoli,1625.37744141
1949-02-07,Napoli,1618.39794922
1949-02-14,Napoli,1608.61242676
1949-02-21,Napoli,1601.30639648
1949-03-06,Napoli,1603.30639648
1949-03-07,Napoli,1596.82714844
1949-03-14,Napoli,1600.75830078
1949-03-21,Napoli,1609.37878418
1949-04-03,Napoli,1621.37878418
1949-04-04,Napoli,1624.89477539
1949-04-11,Napoli,1617.43896484
1949-04-18,Napoli,1621.69934082
1949-04-25,Napoli,1615.06091309
1949-05-02,Napoli,1619.21789551
1949-05-09,Napoli,1622.29150391
1949-05-16,Napoli,1615.02368164
1949-05-26,Napoli,1621.02368164
1949-05-30,Napoli,1623.75170898
1949-06-06,Napoli,1614.63256836
1949-06-13,Napoli,1611.93640137
1949-06-17,Napoli,1607.93640137
1949-06-20,Napoli,1602.09655762
1949-06-27,Napoli,1592.51245117
1949-06-30,Napoli,1504.31994629
1949-07-03,Napoli,1510.65734863
1949-07-04,Napoli,1514.41491699
1949-09-12,Napoli,1520.49987793
1949-09-19,Napoli,1524.58215332
1949-09-26,Napoli,1527.33166504
1949-10-03,Napoli,1522.02062988
1949-10-10,Napoli,1527.42529297
1949-10-17,Napoli,1529.55932617
1949-10-24,Napoli,1532.14123535
1949-10-31,Napoli,1526.48425293
1949-11-07,Napoli,1547.69372559
1949-11-14,Napoli,1518.17993164
1949-11-21,Napoli,1521.87963867
1949-11-28,Napoli,1513.10620117
1949-12-05,Napoli,1516.23461914
1949-12-09,Napoli,1511.10852051
1949-12-12,Napoli,1513.5020752
1949-12-19,Napoli,1517.43603516
1949-12-27,Napoli,1527.08544922
1950-01-02,Napoli,1534.6192627
1950-01-09,Napoli,1536.515625
1950-01-16,Napoli,1531.44763184
1950-01-23,Napoli,1540.12426758
1950-01-30,Napoli,1547.50549316
1950-02-06,Napoli,1551.76330566
1950-02-13,Napoli,1543.26306152
1950-02-20,Napoli,1546.95861816
1950-02-27,Napoli,1555.43066406
1950-03-13,Napoli,1562.63842773
1950-03-20,Napoli,1556.82531738
1950-03-27,Napoli,1561.38806152
1950-04-03,Napoli,1564.42871094
1950-04-10,Napoli,1577.83532715
1950-04-17,Napoli,1579.27087402
1950-04-24,Napoli,1581.66577148
1950-05-01,Napoli,1583.88439941
1950-05-08,Napoli,1577.74707031
1950-05-15,Napoli,1579.25439453
1950-05-22,Napoli,1591.34790039
1950-05-29,Napoli,1583.89196777
1950-06-05,Napoli,1605.74401855
1950-06-12,Napoli,1617.86315918
1950-06-15,Napoli,1590.92480469
1950-06-17,Napoli,1575.54150391
1950-06-19,Napoli,1577.14489746
1950-06-26,Napoli,1578.61523438
1950-07-02,Napoli,1578.61523438
1950-09-11,Napoli,1582.43774414
1950-09-18,Napoli,1586.23291016
1950-09-25,Napoli,1579.75756836
1950-10-02,Napoli,1569.18005371
1950-10-09,Napoli,1567.32580566
1950-10-16,Napoli,1561.24609375
1950-10-23,Napoli,1555.15783691
1950-10-30,Napoli,1566.59008789
1950-11-06,Napoli,1565.29382324
1950-11-13,Napoli,1570.28161621
1950-11-20,Napoli,1572.08288574
1950-11-27,Napoli,1577.45666504
1950-12-04,Napoli,1571.3137207
1950-12-11,Napoli,1566.42871094
1950-12-18,Napoli,1571.61193848
1950-12-25,Napoli,1574.74938965
1951-01-01,Napoli,1585.83068848
1951-01-08,Napoli,1596.51098633
1951-01-15,Napoli,1598.85510254
1951-01-22,Napoli,1592.62353516
1951-01-29,Napoli,1586.64221191
1951-02-05,Napoli,1592.29504395
1951-02-12,Napoli,1591.03515625
1951-02-19,Napoli,1572.87866211
1951-02-26,Napoli,1582.68457031
1951-03-05,Napoli,1584.46533203
1951-03-12,Napoli,1597.00585938
1951-03-19,Napoli,1596.70458984
1951-03-26,Napoli,1582.30993652
1951-04-02,Napoli,1575.26342773
