date_elo,team_elo,elo
1946-07-07,Roma,1722.61303711
1946-09-23,Roma,1729.93457031
1946-09-30,Roma,1720.10925293
1946-10-07,Roma,1729.40771484
1946-10-14,Roma,1743.65002441
1946-10-21,Roma,1753.12194824
1946-10-28,Roma,1737.11376953
1946-11-04,Roma,1741.69885254
1946-11-11,Roma,1733.9621582
1946-11-13,Roma,1714.87597656
1946-11-25,Roma,1717.48156738
1946-12-08,Roma,1719.48156738
1946-12-09,Roma,1717.64282227
1946-12-16,Roma,1725.79138184
1946-12-23,Roma,1716.39587402
1946-12-30,Roma,1723.33496094
1947-01-06,Roma,1716.23486328
1947-01-13,Roma,1732.73461914
1947-01-20,Roma,1729.89318848
1947-01-27,Roma,1721.17871094
1947-02-03,Roma,1715.77319336
1947-02-17,Roma,1705.88000488
1947-02-24,Roma,1695.85205078
1947-03-03,Roma,1698.90014648
1947-03-10,Roma,1705.56481934
1947-03-17,Roma,1694.15319824
1947-03-24,Roma,1689.02380371
1947-03-31,Roma,1679.52661133
1947-04-07,Roma,1679.7902832
1947-04-14,Roma,1674.11401367
1947-04-21,Roma,1679.92553711
1947-04-29,Roma,1682.92553711
1947-05-05,Roma,1680.15136719
1947-05-15,Roma,1683.15136719
1947-05-19,Roma,1687.3536377
1947-05-26,Roma,1677.31384277
1947-06-02,Roma,1680.22473145
1947-06-09,Roma,1688.81665039
1947-06-16,Roma,1686.69702148
1947-06-23,Roma,1706.70837402
1947-06-30,Roma,1704.36437988
1947-07-07,Roma,1690.34082031
1947-09-15,Roma,1685.32958984
1947-09-22,Roma,1690.9041748
1947-09-29,Roma,1686.06030273
1947-10-06,Roma,1673.33215332
1947-10-13,Roma,1678.07678223
1947-10-27,Roma,1687.93078613
1947-11-03,Roma,1682.59057617
1947-11-16,Roma,1653.59057617
1947-11-17,Roma,1665.83374023
1947-11-24,Roma,1652.27819824
1947-12-01,Roma,1656.5723877
1947-12-08,Roma,1663.13195801
1947-12-19,Roma,1667.13195801
1947-12-22,Roma,1678.11108398
1947-12-29,Roma,1670.16113281
1948-01-02,Roma,1661.81896973
1948-01-05,Roma,1678.42358398
1948-01-12,Roma,1669.78881836
1948-01-19,Roma,1661.83728027
1948-01-26,Roma,1665.89819336
1948-02-02,Roma,1674.93945312
1948-02-09,Roma,1673.1159668
1948-02-16,Roma,1662.14782715
1948-02-23,Roma,1657.73779297
1948-03-01,Roma,1653.64904785
1948-03-08,Roma,1651.65429688
1948-03-15,Roma,1638.13049316
1948-03-29,Roma,1643.56396484
1948-04-06,Roma,1649.56396484
1948-04-12,Roma,1652.61914062
1948-04-22,Roma,1637.4017334
1948-04-26,Roma,1644.828125
