date_elo,team_elo,elo
1947-09-14,Salernitana,1582.15625
1947-09-22,Salernitana,1594.87255859
1947-09-29,Salernitana,1591.05407715
1947-10-06,Salernitana,1594.14746094
1947-10-13,Salernitana,1602.05383301
1947-10-20,Salernitana,1607.63220215
1947-10-27,Salernitana,1604.43688965
1947-11-03,Salernitana,1603.0189209
1947-11-16,Salernitana,1574.0189209
1947-11-17,Salernitana,1571.89404297
1947-11-24,Salernitana,1577.42529297
1947-12-01,Salernitana,1587.55432129
1947-12-08,Salernitana,1582.78857422
1947-12-19,Salernitana,1586.78857422
1947-12-22,Salernitana,1593.01501465
1947-12-29,Salernitana,1587.87158203
1948-01-02,Salernitana,1601.27429199
1948-01-05,Salernitana,1588.16650391
1948-01-12,Salernitana,1586.16674805
1948-01-19,Salernitana,1588.63964844
1948-01-26,Salernitana,1583.58032227
1948-02-02,Salernitana,1574.5390625
1948-02-09,Salernitana,1572.72802734
1948-02-23,Salernitana,1568.77722168
1948-03-01,Salernitana,1575.65979004
1948-03-08,Salernitana,1573.74560547
1948-03-15,Salernitana,1569.48400879
1948-03-22,Salernitana,1575.92871094
1948-03-29,Salernitana,1586.44702148
1948-04-06,Salernitana,1592.44702148
1948-04-12,Salernitana,1597.88952637
1948-04-18,Salernitana,1591.62243652
1948-04-26,Salernitana,1591.51049805
1948-05-03,Salernitana,1589.54187012
1948-05-07,Salernitana,1600.29296875
1948-05-10,Salernitana,1595.25976562
1948-05-18,Salernitana,1568.25976562
1948-05-24,Salernitana,1574.25549316
1948-05-28,Salernitana,1570.55615234
1948-05-31,Salernitana,1565.03833008
1948-06-07,Salernitana,1574.11779785
1948-06-14,Salernitana,1572.20385742
1948-06-21,Salernitana,1581.91503906
1948-06-28,Salernitana,1578.57312012
1948-07-05,Salernitana,1584.17687988
1948-09-20,Salernitana,1578.99536133
1948-09-27,Salernitana,1589.95483398
1948-10-04,Salernitana,1593.15991211
1948-10-11,Salernitana,1596.08398438
1948-10-18,Salernitana,1587.64904785
1948-10-25,Salernitana,1578.20251465
1948-11-01,Salernitana,1583.97888184
1948-11-05,Salernitana,1571.80664062
1948-11-08,Salernitana,1570.140625
1948-11-15,Salernitana,1571.14807129
1948-11-22,Salernitana,1576.65356445
1948-11-29,Salernitana,1581.59265137
1948-12-06,Salernitana,1581.4342041
1948-12-13,Salernitana,1575.29016113
1948-12-20,Salernitana,1565.9432373
1948-12-27,Salernitana,1569.99145508
1948-12-31,Salernitana,1574.68933105
1949-01-03,Salernitana,1576.1105957
1949-01-07,Salernitana,1580.79968262
1949-01-10,Salernitana,1577.25195312
1949-01-17,Salernitana,1564.92248535
1949-01-24,Salernitana,1568.37902832
1949-01-31,Salernitana,1571.50195312
1949-02-07,Salernitana,1564.73510742
1949-02-14,Salernitana,1558.79223633
1949-02-21,Salernitana,1568.19421387
1949-03-06,Salernitana,1570.19421387
1949-03-07,Salernitana,1574.53515625
1949-03-14,Salernitana,1584.85925293
1949-03-21,Salernitana,1588.27160645
1949-04-03,Salernitana,1600.27160645
1949-04-04,Salernitana,1596.75561523
1949-04-11,Salernitana,1598.72375488
1949-04-18,Salernitana,1592.30847168
1949-04-25,Salernitana,1586.98132324
1949-05-02,Salernitana,1589.86584473
1949-05-09,Salernitana,1581.29431152
1949-05-16,Salernitana,1585.84814453
1949-05-26,Salernitana,1591.84814453
1949-05-30,Salernitana,1585.57861328
1949-06-06,Salernitana,1573.87084961
1949-06-13,Salernitana,1579.24060059
1949-06-17,Salernitana,1575.24060059
1949-06-20,Salernitana,1562.95178223
1949-06-27,Salernitana,1572.61914062
1949-06-30,Salernitana,1484.42675781
1949-07-03,Salernitana,1490.76416016
1949-07-04,Salernitana,1494.66125488
1949-09-12,Salernitana,1499.26928711
1949-09-19,Salernitana,1493.48071289
1949-09-26,Salernitana,1488.2298584
1949-10-03,Salernitana,1493.39257812
1949-10-10,Salernitana,1494.9173584
1949-10-17,Salernitana,1490.19104004
1949-10-24,Salernitana,1494.9576416
1949-10-31,Salernitana,1490.02697754
1949-11-07,Salernitana,1507.53271484
1949-11-14,Salernitana,1514.15966797
1949-11-21,Salernitana,1510.45996094
1949-11-28,Salernitana,1504.71081543
1949-12-05,Salernitana,1507.11315918
1949-12-09,Salernitana,1500.17626953
1949-12-12,Salernitana,1494.51745605
1949-12-19,Salernitana,1488.40319824
1949-12-27,Salernitana,1492.81066895
