date_elo,team_elo,elo
1946-07-07,Sampdoria,1722.61303711
1946-09-23,Sampdoria,1715.29162598
1946-09-30,Sampdoria,1720.58666992
1946-10-07,Sampdoria,1723.5769043
1946-10-14,Sampdoria,1728.50268555
1946-10-21,Sampdoria,1730.98681641
1946-10-28,Sampdoria,1721.38684082
1946-11-04,Sampdoria,1730.54589844
1946-11-11,Sampdoria,1718.97729492
1946-11-13,Sampdoria,1728.14990234
1946-11-25,Sampdoria,1739.86474609
1946-12-08,Sampdoria,1741.86474609
1946-12-09,Sampdoria,1761.10253906
1946-12-16,Sampdoria,1762.3013916
1946-12-30,Sampdoria,1747.77819824
1947-01-06,Sampdoria,1743.63659668
1947-01-13,Sampdoria,1738.93835449
1947-01-20,Sampdoria,1741.23974609
1947-01-27,Sampdoria,1730.84423828
1947-02-03,Sampdoria,1724.17858887
1947-02-17,Sampdoria,1734.07165527
1947-02-24,Sampdoria,1727.24645996
1947-03-03,Sampdoria,1738.32080078
1947-03-10,Sampdoria,1734.35473633
1947-03-17,Sampdoria,1730.24816895
1947-03-24,Sampdoria,1722.52026367
1947-03-31,Sampdoria,1733.59899902
1947-04-07,Sampdoria,1729.32128906
1947-04-14,Sampdoria,1726.04931641
1947-04-21,Sampdoria,1721.16955566
1947-04-26,Sampdoria,1726.56970215
1947-04-29,Sampdoria,1729.56970215
1947-05-05,Sampdoria,1734.39880371
1947-05-15,Sampdoria,1737.39880371
1947-05-26,Sampdoria,1743.03161621
1947-06-02,Sampdoria,1739.40844727
1947-06-09,Sampdoria,1725.02319336
1947-06-16,Sampdoria,1719.15588379
1947-06-23,Sampdoria,1723.96459961
1947-06-30,Sampdoria,1718.4251709
1947-07-07,Sampdoria,1698.00048828
1947-09-15,Sampdoria,1692.34033203
1947-09-22,Sampdoria,1688.22692871
1947-09-29,Sampdoria,1680.65246582
1947-10-06,Sampdoria,1665.53015137
1947-10-20,Sampdoria,1671.70410156
1947-10-27,Sampdoria,1668.02758789
1947-11-03,Sampdoria,1682.3359375
