date_elo,team_elo,elo
2008-07-01,Sassuolo,1431.68920898
2008-08-13,Sassuolo,1433.35925293
2008-08-14,Sassuolo,1433.8581543
2008-08-15,Sassuolo,1434.0213623
2008-08-27,Sassuolo,1434.04736328
2008-08-28,Sassuolo,1434.21643066
2008-08-29,Sassuolo,1434.30371094
2008-08-31,Sassuolo,1428.24365234
2008-09-14,Sassuolo,1443.73254395
2008-09-17,Sassuolo,1451.07897949
2008-09-18,Sassuolo,1453.65795898
2008-09-19,Sassuolo,1460.1159668
2008-09-21,Sassuolo,1462.95422363
2008-09-24,Sassuolo,1471.35144043
2008-09-28,Sassuolo,1484.00610352
2008-10-01,Sassuolo,1479.39086914
2008-10-02,Sassuolo,1481.52282715
2008-10-03,Sassuolo,1472.27441406
2008-10-05,Sassuolo,1480.1940918
2008-10-19,Sassuolo,1470.58435059
2008-10-22,Sassuolo,1490.6315918
2008-10-23,Sassuolo,1490.28747559
2008-10-24,Sassuolo,1498.16687012
2008-10-26,Sassuolo,1492.41882324
2008-10-29,Sassuolo,1476.34460449
2008-11-02,Sassuolo,1476.22216797
2008-11-05,Sassuolo,1479.45202637
2008-11-06,Sassuolo,1484.85791016
2008-11-07,Sassuolo,1488.15014648
2008-11-09,Sassuolo,1494.92370605
2008-11-16,Sassuolo,1497.03088379
2008-11-25,Sassuolo,1505.13745117
2008-11-26,Sassuolo,1501.35839844
2008-11-27,Sassuolo,1497.95849609
2008-11-28,Sassuolo,1496.46936035
2008-11-30,Sassuolo,1498.75732422
2008-12-04,Sassuolo,1495.55175781
2008-12-07,Sassuolo,1497.39428711
2008-12-10,Sassuolo,1495.84277344
2008-12-11,Sassuolo,1494.68591309
2008-12-16,Sassuolo,1499.58972168
2008-12-18,Sassuolo,1497.9876709
2008-12-19,Sassuolo,1497.24267578
2008-12-21,Sassuolo,1493.1048584
2009-01-18,Sassuolo,1498.17480469
2009-01-25,Sassuolo,1502.24243164
2009-01-28,Sassuolo,1501.63964844
2009-02-01,Sassuolo,1503.22558594
2009-02-08,Sassuolo,1513.32910156
2009-02-14,Sassuolo,1510.17321777
2009-02-18,Sassuolo,1503.94018555
2009-02-19,Sassuolo,1501.22570801
2009-02-20,Sassuolo,1497.98181152
2009-02-22,Sassuolo,1504.17687988
2009-02-25,Sassuolo,1502.57873535
2009-02-26,Sassuolo,1501.39318848
2009-02-27,Sassuolo,1493.13110352
2009-03-01,Sassuolo,1501.72961426
2009-03-09,Sassuolo,1488.90332031
2009-03-11,Sassuolo,1487.76538086
2009-03-12,Sassuolo,1487.00378418
2009-03-13,Sassuolo,1491.07006836
2009-03-15,Sassuolo,1492.02636719
2009-03-18,Sassuolo,1488.97485352
2009-03-20,Sassuolo,1489.36767578
2009-03-22,Sassuolo,1483.13415527
2009-04-05,Sassuolo,1484.41699219
2009-04-10,Sassuolo,1482.23486328
2009-04-15,Sassuolo,1477.67260742
2009-04-17,Sassuolo,1476.67834473
2009-04-19,Sassuolo,1466.1739502
2009-04-22,Sassuolo,1472.34985352
2009-04-26,Sassuolo,1479.44482422
2009-05-03,Sassuolo,1476.07641602
2009-05-10,Sassuolo,1467.88146973
2009-05-17,Sassuolo,1459.7467041
2009-05-24,Sassuolo,1453.0045166
2009-05-31,Sassuolo,1455.40783691
2009-07-31,Sassuolo,1456.0045166
2009-08-07,Sassuolo,1457.22998047
2009-08-19,Sassuolo,1458.70385742
2009-08-21,Sassuolo,1463.88342285
2009-08-22,Sassuolo,1470.37133789
2009-08-27,Sassuolo,1471.26489258
2009-08-28,Sassuolo,1472.32214355
2009-08-30,Sassuolo,1474.20544434
2009-09-13,Sassuolo,1474.19934082
2009-09-16,Sassuolo,1482.86743164
2009-09-17,Sassuolo,1481.35180664
2009-09-18,Sassuolo,1472.31152344
2009-09-20,Sassuolo,1469.70874023
2009-09-23,Sassuolo,1463.56799316
2009-09-27,Sassuolo,1460.30834961
2009-09-30,Sassuolo,1464.32116699
2009-10-01,Sassuolo,1460.04638672
2009-10-02,Sassuolo,1463.57324219
2009-10-03,Sassuolo,1485.0098877
2009-10-12,Sassuolo,1474.37475586
2009-10-20,Sassuolo,1475.93041992
2009-10-21,Sassuolo,1475.78881836
2009-10-22,Sassuolo,1480.50024414
2009-10-23,Sassuolo,1480.10314941
2009-10-25,Sassuolo,1486.33496094
2009-11-01,Sassuolo,1504.86303711
2009-11-04,Sassuolo,1506.02868652
2009-11-05,Sassuolo,1509.57214355
2009-11-06,Sassuolo,1511.3371582
2009-11-08,Sassuolo,1508.49719238
2009-11-22,Sassuolo,1496.81262207
2009-11-25,Sassuolo,1496.94665527
2009-11-26,Sassuolo,1492.67370605
2009-11-29,Sassuolo,1494.96728516
2009-12-03,Sassuolo,1491.57617188
2009-12-04,Sassuolo,1492.40100098
2009-12-06,Sassuolo,1499.27868652
2009-12-09,Sassuolo,1506.85461426
2009-12-10,Sassuolo,1512.34729004
2009-12-13,Sassuolo,1523.73059082
2009-12-17,Sassuolo,1525.35656738
2009-12-18,Sassuolo,1518.25170898
2010-01-06,Sassuolo,1520.71533203
2010-01-10,Sassuolo,1519.44494629
2010-01-19,Sassuolo,1527.38537598
2010-01-24,Sassuolo,1531.77844238
2010-01-31,Sassuolo,1534.81201172
2010-02-07,Sassuolo,1542.13244629
2010-02-14,Sassuolo,1528.38891602
2010-02-17,Sassuolo,1526.48510742
2010-02-18,Sassuolo,1526.10754395
2010-02-19,Sassuolo,1527.19128418
2010-02-21,Sassuolo,1519.12194824
2010-02-25,Sassuolo,1520.76843262
2010-02-26,Sassuolo,1514.15466309
2010-02-28,Sassuolo,1499.96228027
2010-03-10,Sassuolo,1499.34130859
2010-03-11,Sassuolo,1497.04785156
2010-03-12,Sassuolo,1500.24841309
2010-03-14,Sassuolo,1489.01245117
2010-03-17,Sassuolo,1503.63305664
2010-03-19,Sassuolo,1496.47094727
2010-03-21,Sassuolo,1498.38476562
2010-03-24,Sassuolo,1495.15686035
2010-03-28,Sassuolo,1497.64697266
2010-04-01,Sassuolo,1498.59399414
2010-04-03,Sassuolo,1502.60913086
2010-04-07,Sassuolo,1504.14916992
2010-04-11,Sassuolo,1504.84326172
2010-04-14,Sassuolo,1493.61938477
2010-04-20,Sassuolo,1507.58288574
2010-04-21,Sassuolo,1511.89538574
2010-04-25,Sassuolo,1516.53991699
2010-04-29,Sassuolo,1517.67883301
2010-05-02,Sassuolo,1516.70458984
2010-05-09,Sassuolo,1506.87744141
2010-05-16,Sassuolo,1516.19116211
2010-05-23,Sassuolo,1519.9329834
2010-05-24,Sassuolo,1525.3927002
2010-05-31,Sassuolo,1528.93115234
2010-06-03,Sassuolo,1532.05322266
2010-06-07,Sassuolo,1518.7421875
2010-07-30,Sassuolo,1518.83728027
2010-08-06,Sassuolo,1518.85803223
2010-08-19,Sassuolo,1516.55664062
2010-08-20,Sassuolo,1518.6739502
2010-08-23,Sassuolo,1539.12121582
2010-08-25,Sassuolo,1538.9465332
2010-08-27,Sassuolo,1540.39257812
2010-08-29,Sassuolo,1536.74291992
2010-09-06,Sassuolo,1527.48950195
2010-09-12,Sassuolo,1517.42858887
2010-09-15,Sassuolo,1516.10144043
2010-09-16,Sassuolo,1516.58300781
2010-09-17,Sassuolo,1509.3984375
2010-09-21,Sassuolo,1514.62487793
2010-09-26,Sassuolo,1504.55883789
2010-09-29,Sassuolo,1505.76318359
2010-09-30,Sassuolo,1508.0189209
2010-10-01,Sassuolo,1509.3236084
2010-10-03,Sassuolo,1498.26330566
2010-10-10,Sassuolo,1490.4230957
2010-10-14,Sassuolo,1492.07958984
2010-10-17,Sassuolo,1481.89929199
