date_elo,team_elo,elo
1947-09-14,Spezia,1529.72741699
1947-09-15,Spezia,1544.51782227
1947-09-22,Spezia,1554.34033203
1947-09-29,Spezia,1559.07531738
1947-10-06,Spezia,1553.265625
1947-10-13,Spezia,1560.3614502
1947-10-20,Spezia,1561.7376709
1947-10-27,Spezia,1554.41162109
1947-11-03,Spezia,1564.23291016
1947-11-16,Spezia,1535.23291016
1947-11-17,Spezia,1538.3536377
1947-11-24,Spezia,1525.80078125
1947-12-01,Spezia,1518.77197266
1947-12-08,Spezia,1505.5402832
1947-12-19,Spezia,1509.5402832
1947-12-22,Spezia,1514.23669434
1947-12-29,Spezia,1518.14343262
1948-01-05,Spezia,1527.95202637
1948-01-12,Spezia,1521.07177734
1948-01-19,Spezia,1525.84179688
1948-02-16,Spezia,1530.97155762
1948-02-23,Spezia,1534.86999512
1948-03-01,Spezia,1530.32495117
1948-03-08,Spezia,1536.08190918
1948-03-15,Spezia,1539.8347168
1948-03-22,Spezia,1546.03149414
1948-03-29,Spezia,1550.06604004
1948-04-06,Spezia,1556.06604004
1948-04-12,Spezia,1547.04296875
1948-04-18,Spezia,1542.42883301
1948-04-26,Spezia,1535.3572998
1948-05-03,Spezia,1538.31848145
1948-05-10,Spezia,1548.40979004
1948-05-18,Spezia,1521.40979004
1948-05-24,Spezia,1515.07250977
1948-05-31,Spezia,1521.42163086
1948-06-07,Spezia,1535.16918945
1948-06-14,Spezia,1538.85620117
1948-06-21,Spezia,1531.84448242
1948-09-20,Spezia,1528.21582031
1948-09-27,Spezia,1536.03491211
1948-10-04,Spezia,1516.97180176
1948-10-11,Spezia,1523.87854004
1948-10-18,Spezia,1518.83654785
1948-10-25,Spezia,1521.82336426
1948-11-01,Spezia,1516.04711914
1948-11-05,Spezia,1520.42004395
1948-11-08,Spezia,1526.04260254
1948-11-15,Spezia,1521.03686523
1948-11-22,Spezia,1526.61413574
1948-11-29,Spezia,1521.86499023
1948-12-06,Spezia,1517.98693848
1948-12-13,Spezia,1512.92102051
1948-12-20,Spezia,1502.75463867
1948-12-27,Spezia,1509.43884277
1948-12-31,Spezia,1507.97827148
1949-01-03,Spezia,1498.48474121
1949-01-07,Spezia,1502.08618164
1949-01-10,Spezia,1505.07373047
1949-01-17,Spezia,1509.49853516
1949-01-24,Spezia,1507.91394043
1949-01-31,Spezia,1504.84619141
1949-02-07,Spezia,1496.1517334
1949-02-14,Spezia,1505.93725586
1949-02-21,Spezia,1510.0078125
1949-03-06,Spezia,1512.0078125
1949-03-07,Spezia,1506.28027344
1949-03-14,Spezia,1495.95605469
