date_elo,team_elo,elo
1946-07-07,Torino,1722.61303711
1946-09-23,Torino,1719.81176758
1946-09-30,Torino,1730.57958984
1946-10-07,Torino,1727.58935547
1946-10-14,Torino,1721.79907227
1946-10-21,Torino,1719.88549805
1946-10-28,Torino,1735.89367676
1946-11-04,Torino,1749.86291504
1946-11-11,Torino,1761.86779785
1946-11-13,Torino,1769.51525879
1946-11-25,Torino,1785.60644531
1946-12-08,Torino,1787.60644531
1946-12-09,Torino,1791.69616699
1946-12-16,Torino,1792.38256836
1946-12-23,Torino,1800.54589844
1946-12-30,Torino,1813.64709473
1947-01-06,Torino,1821.77111816
1947-01-13,Torino,1825.22180176
1947-01-20,Torino,1813.35986328
1947-01-27,Torino,1822.49108887
1947-02-03,Torino,1818.94274902
1947-02-17,Torino,1825.48022461
1947-02-24,Torino,1831.19763184
1947-03-03,Torino,1820.12316895
1947-03-10,Torino,1823.81079102
1947-03-17,Torino,1833.37719727
1947-03-24,Torino,1838.50646973
1947-03-31,Torino,1843.3651123
1947-04-07,Torino,1842.94067383
1947-04-14,Torino,1849.46057129
1947-04-21,Torino,1856.22375488
1947-04-29,Torino,1859.22375488
1947-05-05,Torino,1868.63635254
1947-05-15,Torino,1871.63635254
1947-05-19,Torino,1874.1529541
1947-05-26,Torino,1885.97875977
1947-06-02,Torino,1889.3861084
1947-06-09,Torino,1894.77709961
1947-06-16,Torino,1892.76586914
1947-06-23,Torino,1896.44116211
1947-06-30,Torino,1902.90991211
1947-07-07,Torino,1914.78686523
1947-09-15,Torino,1918.09643555
1947-09-22,Torino,1906.98925781
1947-09-29,Torino,1909.04418945
1947-10-06,Torino,1921.7722168
1947-10-13,Torino,1924.39196777
1947-10-20,Torino,1928.85217285
1947-10-27,Torino,1923.38598633
1947-11-03,Torino,1913.64074707
1947-11-16,Torino,1884.64074707
1947-11-17,Torino,1886.765625
1947-11-24,Torino,1891.62927246
1947-12-01,Torino,1889.3536377
1947-12-08,Torino,1894.51647949
1947-12-19,Torino,1898.51647949
1947-12-22,Torino,1887.93054199
1947-12-29,Torino,1890.55151367
1948-01-02,Torino,1893.82421875
1948-01-05,Torino,1891.51818848
1948-01-12,Torino,1899.44152832
1948-01-19,Torino,1900.83288574
1948-01-26,Torino,1894.58105469
1948-02-02,Torino,1907.87084961
1948-02-16,Torino,1903.88195801
1948-02-23,Torino,1906.10949707
1948-03-01,Torino,1900.87683105
1948-03-08,Torino,1902.87158203
1948-03-15,Torino,1912.21313477
1948-03-22,Torino,1913.61804199
1948-03-29,Torino,1913.95385742
1948-04-06,Torino,1919.95385742
1948-04-12,Torino,1923.45397949
1948-04-18,Torino,1929.72106934
1948-04-26,Torino,1930.84313965
1948-05-03,Torino,1934.0177002
1948-05-07,Torino,1939.03210449
1948-05-10,Torino,1942.02868652
1948-05-18,Torino,1915.02868652
1948-05-24,Torino,1911.89562988
1948-05-28,Torino,1917.39672852
1948-05-31,Torino,1918.45251465
1948-06-07,Torino,1919.8795166
1948-06-14,Torino,1924.86987305
1948-06-21,Torino,1926.51879883
1948-06-28,Torino,1928.88146973
1948-09-20,Torino,1930.24121094
1948-09-27,Torino,1919.98571777
1948-10-04,Torino,1921.59301758
1948-10-11,Torino,1927.88708496
1948-10-18,Torino,1928.57507324
1948-10-25,Torino,1935.95776367
1948-11-01,Torino,1936.56921387
1948-11-05,Torino,1927.71472168
1948-11-08,Torino,1928.50915527
1948-11-15,Torino,1924.92675781
1948-11-22,Torino,1929.38635254
1948-11-29,Torino,1921.06262207
1948-12-06,Torino,1926.6751709
1948-12-13,Torino,1928.41662598
1948-12-20,Torino,1924.90490723
1948-12-27,Torino,1907.76916504
1948-12-30,Torino,1908.89526367
1949-01-07,Torino,1903.77246094
1949-01-10,Torino,1908.87280273
1949-01-17,Torino,1909.97644043
1949-01-24,Torino,1914.76013184
1949-01-28,Torino,1916.01403809
1949-01-31,Torino,1916.60791016
1949-02-07,Torino,1913.17687988
1949-02-14,Torino,1915.27148438
1949-02-21,Torino,1910.66113281
1949-03-06,Torino,1912.66113281
1949-03-07,Torino,1915.61682129
1949-03-14,Torino,1912.25
1949-03-21,Torino,1913.3795166
1949-04-03,Torino,1925.3795166
1949-04-04,Torino,1926.42333984
1949-04-11,Torino,1924.32092285
1949-04-18,Torino,1925.40905762
1949-04-25,Torino,1922.34716797
1949-05-01,Torino,1923.29541016
1949-05-16,Torino,1925.08569336
1949-05-23,Torino,1926.02734375
1949-05-26,Torino,1932.02734375
1949-05-30,Torino,1938.35546875
1949-06-13,Torino,1939.43566895
1949-06-17,Torino,1935.43566895
1949-06-30,Torino,1827.52282715
1949-07-03,Torino,1835.86279297
1949-09-12,Torino,1840.2520752
1949-09-19,Torino,1841.42028809
1949-09-26,Torino,1821.47509766
1949-10-03,Torino,1822.55029297
1949-10-10,Torino,1832.00598145
1949-10-17,Torino,1823.0098877
1949-10-21,Torino,1804.63977051
1949-10-24,Torino,1806.8326416
1949-10-31,Torino,1790.82324219
1949-11-07,Torino,1771.06164551
1949-11-14,Torino,1783.81787109
1949-11-21,Torino,1785.4107666
1949-12-05,Torino,1770.20678711
1949-12-09,Torino,1772.05749512
1949-12-12,Torino,1766.05944824
1949-12-19,Torino,1758.73742676
1949-12-27,Torino,1751.42382812
1950-01-02,Torino,1742.5826416
1950-01-09,Torino,1743.41235352
1950-01-16,Torino,1744.55810547
1950-01-24,Torino,1726.75231934
1950-01-30,Torino,1729.78015137
1950-02-06,Torino,1729.41137695
1950-02-13,Torino,1732.27709961
1950-02-20,Torino,1710.14953613
1950-02-24,Torino,1712.36877441
1950-02-27,Torino,1705.75317383
1950-03-13,Torino,1709.38671875
1950-03-20,Torino,1706.5612793
1950-03-27,Torino,1698.50231934
1950-04-10,Torino,1691.96386719
1950-04-17,Torino,1694.81164551
1950-04-26,Torino,1684.23486328
1950-05-01,Torino,1688.53503418
1950-05-08,Torino,1679.41088867
1950-05-15,Torino,1683.5135498
1950-05-22,Torino,1686.98303223
1950-05-29,Torino,1690.30969238
1950-06-15,Torino,1663.37121582
1950-06-17,Torino,1647.98791504
1950-09-11,Torino,1649.5723877
1950-09-18,Torino,1652.44567871
1950-09-25,Torino,1654.60241699
1950-10-02,Torino,1641.23596191
1950-10-09,Torino,1633.67333984
1950-10-16,Torino,1627.80700684
1950-10-23,Torino,1630.14282227
1950-10-30,Torino,1632.11486816
1950-11-06,Torino,1625.35900879
1950-11-13,Torino,1611.63769531
1950-11-20,Torino,1613.49438477
1950-11-27,Torino,1603.19018555
1950-12-04,Torino,1596.98498535
1950-12-11,Torino,1594.55163574
1950-12-18,Torino,1589.3684082
1951-01-01,Torino,1582.90429688
1951-01-05,Torino,1577.48669434
1951-01-08,Torino,1575.49145508
1951-01-15,Torino,1577.97961426
1951-01-22,Torino,1580.81054688
1951-01-29,Torino,1576.03405762
1951-02-05,Torino,1571.07250977
1951-02-12,Torino,1566.04077148
1951-02-19,Torino,1568.91564941
1951-02-26,Torino,1564.03100586
1951-03-05,Torino,1558.52209473
1951-03-12,Torino,1562.38110352
1951-03-19,Torino,1564.95336914
1951-03-26,Torino,1562.62768555
1951-04-02,Torino,1556.99890137
1951-04-16,Torino,1559.89147949
1951-04-23,Torino,1553.70056152
1951-04-30,Torino,1542.99230957
1951-05-14,Torino,1548.42248535
1951-05-21,Torino,1544.7713623
1951-05-28,Torino,1538.61169434
1951-06-11,Torino,1547.79382324
1951-06-18,Torino,1543.34216309
1951-06-21,Torino,1566.69494629
1951-06-25,Torino,1579.44506836
1951-09-10,Torino,1576.07177734
1951-09-17,Torino,1580.5994873
1951-09-24,Torino,1585.21875
1951-10-01,Torino,1572.81298828
1951-10-08,Torino,1571.36340332
1951-10-15,Torino,1576.6105957
1951-10-22,Torino,1564.68884277
1951-10-29,Torino,1559.89941406
1951-11-05,Torino,1546.17053223
1951-11-19,Torino,1556.8692627
1951-12-03,Torino,1559.55249023
1951-12-10,Torino,1577.30847168
1951-12-17,Torino,1583.14196777
1951-12-24,Torino,1586.75488281
1951-12-31,Torino,1581.25878906
1952-01-07,Torino,1577.80493164
1952-01-14,Torino,1564.52661133
1952-01-21,Torino,1559.90673828
1952-02-04,Torino,1567.91003418
1952-02-11,Torino,1571.88989258
1952-02-18,Torino,1577.01147461
1952-03-03,Torino,1572.66137695
1952-03-10,Torino,1582.36889648
1952-03-17,Torino,1571.77124023
1952-03-20,Torino,1575.39294434
1952-03-24,Torino,1573.39050293
1952-03-31,Torino,1571.33459473
1952-04-07,Torino,1564.82141113
1952-04-14,Torino,1571.28930664
1952-04-21,Torino,1568.82458496
1952-04-28,Torino,1574.12402344
1952-05-05,Torino,1570.13793945
1952-05-12,Torino,1574.10229492
1952-05-26,Torino,1566.15930176
1952-06-02,Torino,1576.58703613
1952-06-09,Torino,1577.20349121
1952-06-16,Torino,1566.77172852
1952-06-23,Torino,1561.90490723
1952-06-27,Torino,1531.11462402
1952-06-29,Torino,1539.05285645
1952-09-15,Torino,1545.9753418
1952-09-22,Torino,1541.34802246
