date_elo,team_elo,elo
1946-07-07,Venezia,1722.61303711
1946-09-23,Venezia,1712.25891113
1946-09-30,Venezia,1718.02258301
1946-10-07,Venezia,1706.19714355
1946-10-14,Venezia,1711.98730469
1946-10-21,Venezia,1702.51538086
1946-10-28,Venezia,1696.69812012
1946-11-04,Venezia,1705.94262695
1946-11-11,Venezia,1709.02478027
1946-11-13,Venezia,1704.07531738
1946-11-25,Venezia,1700.19946289
1946-12-08,Venezia,1702.19946289
1946-12-09,Venezia,1697.66088867
1946-12-16,Venezia,1687.23413086
1946-12-30,Venezia,1691.12060547
1947-01-06,Venezia,1696.37634277
1947-01-13,Venezia,1689.52990723
1947-01-20,Venezia,1683.33605957
1947-01-27,Venezia,1680.41662598
1947-02-03,Venezia,1689.00708008
1947-02-17,Venezia,1698.13806152
1947-02-24,Venezia,1693.41125488
1947-03-03,Venezia,1682.90917969
1947-03-10,Venezia,1679.22155762
1947-03-17,Venezia,1690.63330078
1947-03-24,Venezia,1698.58947754
1947-03-31,Venezia,1701.125
1947-04-07,Venezia,1691.12341309
1947-04-14,Venezia,1681.21606445
1947-04-21,Venezia,1685.39550781
1947-04-29,Venezia,1688.39550781
1947-05-05,Venezia,1688.41784668
1947-05-15,Venezia,1691.41784668
1947-05-26,Venezia,1685.78503418
1947-06-02,Venezia,1691.48010254
1947-06-09,Venezia,1685.45825195
1947-06-16,Venezia,1675.68664551
1947-06-23,Venezia,1666.23522949
1947-06-30,Venezia,1662.33203125
1947-07-07,Venezia,1652.04943848
1948-07-04,Venezia,1471.3972168
1948-09-20,Venezia,1478.26330566
1948-09-27,Venezia,1476.66162109
1948-10-04,Venezia,1473.45654297
1948-10-11,Venezia,1469.51428223
1948-10-18,Venezia,1465.41760254
1948-10-25,Venezia,1470.89001465
1948-11-01,Venezia,1479.70715332
1948-11-05,Venezia,1496.6315918
1948-11-08,Venezia,1502.6628418
1948-11-15,Venezia,1500.42077637
1948-11-22,Venezia,1503.80761719
1948-11-29,Venezia,1508.5567627
1948-12-06,Venezia,1503.03942871
1948-12-13,Venezia,1506.87805176
1948-12-20,Venezia,1494.64074707
1948-12-27,Venezia,1492.18591309
1948-12-31,Venezia,1497.52197266
1949-01-03,Venezia,1502.51318359
1949-01-07,Venezia,1497.27099609
1949-01-10,Venezia,1501.63793945
1949-01-17,Venezia,1511.38293457
1949-01-24,Venezia,1522.03417969
1949-01-31,Venezia,1528.73876953
1949-02-07,Venezia,1535.5057373
1949-02-14,Venezia,1546.99072266
1949-02-21,Venezia,1541.76171875
1949-03-06,Venezia,1543.76171875
1949-03-07,Venezia,1539.85864258
1949-03-14,Venezia,1534.32824707
1949-03-21,Venezia,1537.46606445
1949-04-03,Venezia,1549.46606445
1949-04-04,Venezia,1554.00891113
1949-04-11,Venezia,1560.7800293
1949-04-18,Venezia,1554.24169922
1949-04-25,Venezia,1557.66918945
1949-05-02,Venezia,1561.94152832
1949-05-09,Venezia,1553.23132324
1949-05-16,Venezia,1559.2166748
1949-05-26,Venezia,1565.2166748
1949-05-30,Venezia,1575.41149902
1949-06-06,Venezia,1580.83398438
1949-06-13,Venezia,1584.17016602
1949-06-17,Venezia,1580.17016602
1949-06-20,Venezia,1582.34667969
1949-06-27,Venezia,1577.77783203
1949-06-30,Venezia,1489.58532715
1949-07-03,Venezia,1495.92272949
1949-07-04,Venezia,1506.12658691
1949-09-12,Venezia,1501.73718262
1949-09-19,Venezia,1495.97680664
1949-09-26,Venezia,1484.48632812
1949-10-03,Venezia,1474.91467285
1949-10-10,Venezia,1472.4005127
1949-10-17,Venezia,1454.90905762
1949-10-21,Venezia,1453.96459961
1949-10-24,Venezia,1451.03930664
1949-10-31,Venezia,1448.2869873
1949-11-07,Venezia,1453.96179199
1949-11-14,Venezia,1448.87841797
1949-11-21,Venezia,1422.56176758
1949-12-05,Venezia,1418.68798828
1949-12-09,Venezia,1416.6027832
1949-12-12,Venezia,1426.72106934
1949-12-19,Venezia,1424.52160645
1949-12-27,Venezia,1430.75732422
1950-01-02,Venezia,1428.58496094
1950-01-09,Venezia,1436.87634277
1950-01-16,Venezia,1435.73059082
1950-01-23,Venezia,1428.5012207
1950-01-30,Venezia,1427.68054199
1950-02-06,Venezia,1434.68237305
1950-02-13,Venezia,1438.73852539
1950-02-20,Venezia,1446.05639648
1950-02-24,Venezia,1437.25830078
1950-02-27,Venezia,1434.50964355
1950-03-13,Venezia,1432.53344727
1950-03-20,Venezia,1426.47888184
1950-03-27,Venezia,1416.61804199
1950-04-10,Venezia,1412.58642578
1950-04-17,Venezia,1412.93798828
1950-04-24,Venezia,1404.88659668
1950-05-01,Venezia,1403.33032227
1950-05-08,Venezia,1409.81262207
1950-05-15,Venezia,1406.88867188
1950-05-22,Venezia,1399.40197754
1950-05-29,Venezia,1397.99291992
1950-06-15,Venezia,1371.05444336
1950-06-17,Venezia,1355.67114258
1950-07-02,Venezia,1355.67114258
1950-09-11,Venezia,1359.44226074
1950-09-25,Venezia,1364.94970703
1950-10-02,Venezia,1350.14758301
1950-10-09,Venezia,1356.06787109
1950-10-16,Venezia,1364.26904297
1950-10-23,Venezia,1361.2401123
1950-10-30,Venezia,1368.64916992
1950-11-06,Venezia,1376.10681152
1950-11-13,Venezia,1381.16625977
1950-11-20,Venezia,1385.30993652
1950-11-27,Venezia,1381.71447754
1950-12-04,Venezia,1386.84472656
1950-12-11,Venezia,1379.78930664
1950-12-18,Venezia,1385.17224121
1950-12-25,Venezia,1380.20324707
1951-01-01,Venezia,1376.33105469
1951-01-08,Venezia,1371.78820801
1951-01-15,Venezia,1365.25048828
