Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,Time,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,B365_over25,B365_under25,P_over25,P_under25,Avg_over25,Avg_under25,season,league
19/08/2023,Empoli,Verona,0,1,A,0,0,D,10,10,4,4,2,4,17,18,17:30,-0.25,1.97,1.93,1.96,1.94,2.38,3.5,3.45,2.3,3.28,3.27,2,2,0,0,2.25,3.2,3.3,2.35,3.25,3.1,2.3,3.25,3.2,2.3,3.3,3.44,2.1,1.73,2.13,1.78,2.11,1.74,2023-24,Serie A
19/08/2023,Frosinone,Napoli,1,3,A,1,2,A,4,19,1,8,4,6,14,17,17:30,1.5,1.84,2.06,1.83,2.09,10.0,5.51,1.4,8.79,5.12,1.36,3,3,0,0,8.5,5.0,1.36,8.25,5.0,1.36,8.25,5.25,1.37,8.85,5.25,1.37,1.67,2.2,1.71,2.22,1.68,2.2,2023-24,Serie A
19/08/2023,Genoa,Fiorentina,1,4,A,0,3,A,4,9,2,5,3,4,14,13,19:45,0.25,2.0,1.9,2.0,1.91,3.6,3.54,2.27,3.41,3.34,2.21,2,3,0,0,3.4,3.25,2.2,3.25,3.3,2.25,3.35,3.35,2.2,3.54,3.36,2.23,2.1,1.73,2.1,1.79,2.06,1.77,2023-24,Serie A
19/08/2023,Inter,Monza,2,0,H,1,0,H,22,12,3,2,8,3,8,13,19:45,-1.25,1.83,2.07,1.82,2.07,1.43,5.4,9.0,1.38,5.08,7.92,1,1,0,0,1.4,5.0,7.0,1.39,5.0,7.25,1.43,4.7,7.5,1.39,5.1,8.76,1.57,2.38,1.59,2.46,1.58,2.41,2023-24,Serie A
20/08/2023,Roma,Salernitana,2,2,D,1,1,D,13,3,3,2,9,1,12,9,17:30,-1.0,1.93,1.97,1.93,1.98,1.58,4.33,7.5,1.53,4.07,6.83,0,4,0,0,1.53,4.0,6.5,1.53,4.0,6.5,1.55,3.95,6.5,1.53,4.18,7.16,2.1,1.73,2.16,1.76,2.1,1.75,2023-24,Serie A
20/08/2023,Sassuolo,Atalanta,0,2,A,0,0,D,11,16,3,6,7,7,9,13,17:30,0.25,2.03,1.87,2.02,1.89,3.65,3.8,2.2,3.35,3.62,2.12,0,0,0,0,3.5,3.4,2.1,3.25,3.6,2.1,3.35,3.6,2.1,3.39,3.63,2.18,1.62,2.3,1.63,2.38,1.62,2.33,2023-24,Serie A
20/08/2023,Lecce,Lazio,2,1,H,0,1,A,23,10,7,4,5,2,12,16,19:45,0.25,2.09,1.81,2.1,1.83,4.0,3.56,2.14,3.74,3.33,2.09,3,2,0,0,3.6,3.3,2.1,3.7,3.25,2.05,3.65,3.3,2.1,3.87,3.31,2.14,2.2,1.67,2.26,1.69,2.21,1.68,2023-24,Serie A
20/08/2023,Udinese,Juventus,0,3,A,0,3,A,18,9,5,4,7,3,12,10,19:45,0.5,2.05,1.85,2.07,1.85,4.8,3.67,1.95,4.46,3.54,1.86,1,3,0,0,4.33,3.6,1.83,4.2,3.5,1.88,4.2,3.4,1.95,4.64,3.66,1.85,2.1,1.73,2.11,1.79,2.1,1.75,2023-24,Serie A
21/08/2023,Torino,Cagliari,0,0,D,0,0,D,11,8,2,2,8,3,8,12,17:30,-0.75,1.88,2.02,1.88,2.04,1.74,4.0,5.8,1.68,3.73,5.47,1,1,0,0,1.67,3.75,5.25,1.68,3.7,5.25,1.67,3.75,5.5,1.67,3.86,5.78,2.1,1.73,2.2,1.72,2.16,1.7,2023-24,Serie A
21/08/2023,Bologna,Milan,0,2,A,0,2,A,17,10,5,6,3,6,10,4,19:45,0.5,1.89,2.01,1.89,2.01,4.2,3.75,2.05,3.9,3.49,1.99,2,2,0,0,4.0,3.4,1.95,3.7,3.4,2.0,3.85,3.45,2.0,4.02,3.52,2.01,2.0,1.8,2.08,1.81,2.05,1.78,2023-24,Serie A
26/08/2023,Frosinone,Atalanta,2,1,H,2,0,H,13,18,5,6,3,7,10,10,17:30,0.75,2.04,1.86,2.04,1.88,5.5,4.33,1.73,4.92,4.09,1.68,1,2,0,0,5.0,4.0,1.67,,,,4.9,3.8,1.73,5.04,4.16,1.69,1.67,2.2,1.7,2.24,1.7,2.19,2023-24,Serie A
26/08/2023,Monza,Empoli,2,0,H,1,0,H,20,18,5,6,6,5,14,7,17:30,-0.5,1.95,1.95,1.95,1.95,2.0,3.75,4.2,1.95,3.54,4.05,1,2,0,0,1.91,3.5,4.2,,,,1.95,3.5,4.0,1.95,3.59,4.18,2.07,1.83,2.05,1.85,2.03,1.81,2023-24,Serie A
26/08/2023,Milan,Torino,4,1,H,3,1,H,17,8,7,1,2,1,13,16,19:45,-0.75,1.88,2.02,1.9,2.01,1.74,4.0,6.0,1.66,3.8,5.63,2,3,0,0,1.65,3.8,5.0,,,,1.65,3.8,5.5,1.69,3.8,5.71,2.2,1.67,2.25,1.69,2.19,1.7,2023-24,Serie A
26/08/2023,Verona,Roma,2,1,H,2,0,H,5,23,3,7,1,12,17,12,19:45,0.5,2.03,1.87,2.05,1.87,4.9,3.63,1.96,4.61,3.47,1.86,1,3,1,0,4.33,3.5,1.83,,,,4.5,3.5,1.85,4.83,3.49,1.87,2.3,1.62,2.31,1.66,2.29,1.65,2023-24,Serie A
27/08/2023,Fiorentina,Lecce,2,2,D,2,0,H,9,6,4,2,3,3,13,12,17:30,-1.0,2.08,1.82,2.14,1.78,1.67,4.2,6.1,1.6,3.96,5.9,1,3,0,0,1.57,4.2,5.75,,,,1.6,4.0,6.0,1.64,4.0,5.86,2.1,1.73,2.11,1.79,2.07,1.77,2023-24,Serie A
27/08/2023,Juventus,Bologna,1,1,D,0,1,A,14,9,3,4,5,1,14,13,17:30,-1.0,1.83,2.07,1.85,2.06,1.53,4.6,7.5,1.49,4.39,6.86,2,1,0,0,1.5,4.5,6.0,,,,1.47,4.4,6.75,1.51,4.42,7.08,1.93,1.97,1.94,1.94,1.91,1.92,2023-24,Serie A
27/08/2023,Lazio,Genoa,0,1,A,0,1,A,16,5,2,3,15,1,9,16,19:45,-1.0,2.04,1.86,2.06,1.85,1.64,4.3,6.5,1.58,4.09,5.98,4,2,0,0,1.55,4.0,6.0,,,,1.57,4.0,6.0,1.61,4.23,5.75,2.06,1.84,2.11,1.79,2.04,1.8,2023-24,Serie A
27/08/2023,Napoli,Sassuolo,2,0,H,1,0,H,25,6,5,1,12,4,9,10,19:45,-1.5,1.92,1.98,1.93,1.97,1.36,6.0,9.5,1.33,5.67,8.6,0,1,0,1,1.33,5.5,8.5,,,,1.33,5.75,8.0,1.34,5.87,8.45,1.44,2.75,1.45,2.85,1.45,2.78,2023-24,Serie A
28/08/2023,Salernitana,Udinese,1,1,D,0,0,D,9,14,4,6,7,5,12,19,17:30,0.0,2.0,1.9,1.99,1.92,2.85,3.52,2.72,2.75,3.32,2.62,4,4,0,0,2.7,3.2,2.63,,,,2.7,3.3,2.6,2.8,3.34,2.69,2.03,1.87,2.07,1.83,2.01,1.82,2023-24,Serie A
28/08/2023,Cagliari,Inter,0,2,A,0,2,A,12,17,2,3,4,7,9,10,19:45,1.25,1.87,2.03,1.9,2.01,7.5,5.2,1.49,6.85,4.73,1.45,1,1,0,0,7.5,4.5,1.44,,,,6.75,4.6,1.45,6.7,5.01,1.47,1.73,2.1,1.73,2.19,1.73,2.13,2023-24,Serie A
01/09/2023,Sassuolo,Verona,3,1,H,1,0,H,16,11,7,3,10,1,8,13,17:30,-0.5,2.03,1.9,2.04,1.88,2.06,3.81,3.84,2.02,3.59,3.71,1,3,0,0,2.0,3.6,3.75,2.0,3.6,3.6,2.0,3.6,3.6,2.04,3.66,3.84,1.85,2.05,1.83,2.07,1.82,2.02,2023-24,Serie A
01/09/2023,Roma,Milan,1,2,A,0,1,A,13,9,2,4,3,5,14,15,19:45,0.0,2.02,1.91,2.01,1.92,2.89,3.35,2.78,2.81,3.15,2.7,2,4,0,1,2.8,3.1,2.63,2.75,3.1,2.65,2.8,3.15,2.65,2.88,3.2,2.76,2.3,1.62,2.38,1.64,2.31,1.63,2023-24,Serie A
02/09/2023,Bologna,Cagliari,2,1,H,0,1,A,16,7,7,1,5,2,9,13,17:30,-0.75,1.95,1.98,1.96,1.94,1.76,4.0,5.53,1.72,3.72,5.17,1,2,0,0,1.7,3.75,5.0,1.7,3.75,5.0,1.7,3.8,5.0,1.75,3.63,5.47,2.0,1.9,2.0,1.89,1.95,1.88,2023-24,Serie A
02/09/2023,Udinese,Frosinone,0,0,D,0,0,D,12,12,6,2,3,5,14,9,17:30,-0.75,2.09,1.84,2.06,1.85,1.85,3.87,4.75,1.8,3.7,4.56,2,2,0,0,1.8,3.6,4.5,1.78,3.7,4.4,1.8,3.7,4.4,1.82,3.72,4.74,1.99,1.91,1.99,1.9,1.95,1.88,2023-24,Serie A
02/09/2023,Atalanta,Monza,3,0,H,2,0,H,18,8,8,2,7,3,11,9,19:45,-1.0,2.05,1.75,2.11,1.82,1.69,4.33,5.5,1.63,4.17,5.2,0,3,0,0,1.62,4.0,5.25,1.62,4.2,5.0,1.63,4.1,5.25,1.64,4.27,5.32,1.73,2.1,1.75,2.16,1.72,2.14,2023-24,Serie A
02/09/2023,Napoli,Lazio,1,2,A,1,1,D,22,6,4,2,7,2,8,9,19:45,-0.75,1.8,2.14,1.78,2.15,1.66,4.3,6.0,1.63,4.04,5.49,1,2,0,0,1.62,4.0,5.5,1.65,3.9,5.0,1.63,3.95,5.5,1.62,4.19,5.73,1.86,2.04,1.85,2.04,1.84,1.99,2023-24,Serie A
03/09/2023,Inter,Fiorentina,4,0,H,1,0,H,21,6,11,2,1,1,13,12,17:30,-0.75,1.85,2.08,1.84,2.08,1.71,4.3,5.41,1.65,4.04,5.11,1,1,0,0,1.65,3.8,5.25,1.68,4.0,4.8,1.65,4.0,5.25,1.66,4.16,5.29,1.8,2.0,1.79,2.1,1.78,2.06,2023-24,Serie A
03/09/2023,Torino,Genoa,1,0,H,0,0,D,10,7,3,2,4,0,13,7,17:30,-0.5,2.08,1.85,2.09,1.83,2.1,3.47,4.1,2.05,3.26,3.96,2,5,0,0,2.0,3.3,4.0,2.05,3.2,3.9,2.05,3.25,3.85,2.09,3.31,4.03,2.38,1.57,2.48,1.58,2.39,1.59,2023-24,Serie A
