Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,Time,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,PSH,PSD,PSA,B365_over25,B365_under25,P_over25,P_under25,Avg_over25,Avg_under25,season,league
17/08/2024,Genoa,Inter,2,2,D,1,1,D,10,14,6,9,1,4,15,14,17:30,1.0,1.97,1.93,1.95,1.95,6.8,4.35,1.6,6.31,4.18,1.54,1,2,0,0,6.5,4.0,1.53,6.0,4.1,1.55,6.6,4.18,1.55,1.9,2.0,1.89,2.0,1.88,1.96,2024-25,Serie A
17/08/2024,Parma,Fiorentina,1,1,D,1,0,H,13,14,5,7,4,9,15,9,17:30,0.25,1.97,1.93,1.96,1.94,3.5,3.54,2.27,3.31,3.41,2.23,3,2,0,1,3.5,3.2,2.2,3.2,3.4,2.2,3.37,3.43,2.25,1.9,2.0,1.9,1.99,1.88,1.95,2024-25,Serie A
17/08/2024,Empoli,Monza,0,0,D,0,0,D,9,4,1,1,7,3,16,19,19:45,-0.25,2.1,1.7,2.15,1.79,2.58,3.25,3.2,2.48,3.16,3.07,0,2,0,0,2.5,3.2,3.0,2.4,3.2,3.0,2.53,3.13,3.14,2.1,1.73,2.14,1.76,2.11,1.75,2024-25,Serie A
17/08/2024,Milan,Torino,2,2,D,0,1,A,20,6,6,3,9,2,10,7,19:45,-0.75,1.81,2.09,1.79,2.11,1.68,4.19,5.9,1.64,3.97,5.51,2,4,0,0,1.62,3.8,5.75,1.68,3.75,5.0,1.62,4.06,5.76,1.95,1.95,1.92,1.97,1.92,1.91,2024-25,Serie A
18/08/2024,Bologna,Udinese,1,1,D,0,0,D,22,4,7,2,7,5,15,13,17:30,-0.5,1.95,1.95,1.96,1.94,1.98,3.54,4.75,1.93,3.32,4.37,0,4,0,0,1.91,3.4,4.33,1.9,3.3,4.33,1.95,3.29,4.57,2.3,1.62,2.37,1.63,2.34,1.61,2024-25,Serie A
18/08/2024,Verona,Napoli,3,0,H,0,0,D,8,15,5,5,1,5,15,13,17:30,0.75,1.85,2.05,1.89,2.02,5.1,3.91,1.85,4.63,3.67,1.79,4,1,0,0,4.75,3.6,1.75,4.4,3.6,1.8,4.99,3.67,1.78,1.93,1.97,1.92,1.97,1.9,1.93,2024-25,Serie A
18/08/2024,Cagliari,Roma,0,0,D,0,0,D,12,13,2,3,5,3,15,7,19:45,0.5,1.91,1.99,1.91,1.99,4.1,3.62,2.04,3.88,3.51,1.98,2,0,0,0,4.1,3.4,1.95,3.7,3.5,2.0,4.04,3.53,1.99,1.99,1.91,1.99,1.9,1.94,1.86,2024-25,Serie A
18/08/2024,Lazio,Venezia,3,1,H,2,1,H,13,11,6,3,6,3,14,11,19:45,-1.25,2.09,1.81,2.1,1.83,1.52,4.61,7.5,1.47,4.41,7.05,1,2,0,0,1.48,4.1,7.5,1.49,4.2,6.5,1.48,4.46,7.29,1.89,2.01,1.87,2.03,1.85,1.98,2024-25,Serie A
19/08/2024,Lecce,Atalanta,0,4,A,0,2,A,19,10,5,6,5,3,10,24,17:30,0.5,2.01,1.89,2.03,1.88,4.5,3.83,1.92,4.23,3.64,1.87,0,2,0,0,4.2,3.7,1.85,4.1,3.6,1.87,4.44,3.62,1.88,1.98,1.92,1.95,1.93,1.93,1.9,2024-25,Serie A
19/08/2024,Juventus,Como,3,0,H,2,0,H,12,1,9,1,3,0,12,6,19:45,-1.5,2.05,1.85,2.05,1.86,1.37,5.4,11.0,1.34,5.06,9.57,2,4,0,0,1.33,5.0,9.5,1.34,5.0,9.25,1.34,5.22,9.8,1.86,2.04,1.84,2.06,1.83,2.0,2024-25,Serie A
24/08/2024,Parma,Milan,2,1,H,1,0,H,8,17,5,5,3,9,9,13,17:30,0.75,2.01,1.89,2.03,1.88,5.0,4.2,1.76,4.74,4.03,1.7,0,3,0,0,4.75,3.9,1.7,4.5,3.9,1.73,4.9,4.16,1.69,1.73,2.1,1.7,2.24,1.71,2.17,2024-25,Serie A
24/08/2024,Udinese,Lazio,2,1,H,1,0,H,8,17,3,5,4,13,15,10,17:30,0.25,1.86,2.04,1.87,2.04,3.41,3.23,2.45,3.27,3.1,2.39,0,0,1,0,3.3,3.1,2.35,3.1,3.1,2.4,3.38,3.11,2.4,2.3,1.62,2.45,1.6,2.39,1.59,2024-25,Serie A
24/08/2024,Inter,Lecce,2,0,H,1,0,H,11,10,3,4,10,6,9,12,19:45,-1.75,1.78,2.03,1.79,2.09,1.22,7.75,17.0,1.2,6.95,14.52,0,2,0,0,1.2,7.0,13.0,1.21,6.75,13.5,1.2,7.01,15.07,1.57,2.38,1.58,2.44,1.58,2.39,2024-25,Serie A
24/08/2024,Monza,Genoa,0,1,A,0,1,A,9,11,2,1,8,3,6,17,19:45,0.0,1.84,2.06,1.86,2.06,2.7,3.24,3.0,2.62,3.12,2.91,2,3,0,0,2.6,3.1,2.88,2.55,3.1,2.9,2.68,3.11,2.96,2.3,1.62,2.38,1.63,2.31,1.63,2024-25,Serie A
25/08/2024,Fiorentina,Venezia,0,0,D,0,0,D,12,7,8,4,7,3,13,19,17:30,-1.25,2.01,1.89,2.03,1.88,1.48,4.8,8.0,1.43,4.62,7.47,1,2,0,0,1.42,4.75,7.0,1.43,4.5,7.5,1.44,4.65,7.64,1.88,2.02,1.89,2.0,1.85,1.98,2024-25,Serie A
25/08/2024,Torino,Atalanta,2,1,H,1,1,D,13,24,6,8,4,6,8,13,17:30,0.25,1.87,2.03,1.89,2.01,3.36,3.37,2.46,3.17,3.23,2.37,3,4,0,0,3.2,3.1,2.38,3.1,3.2,2.37,3.32,3.26,2.35,2.1,1.73,2.1,1.79,2.08,1.77,2024-25,Serie A
