Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,Time,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,B365_over25,B365_under25,P_over25,P_under25,Avg_over25,Avg_under25,season,league,xg_home,xg_away,elo_home,elo_away,elo_diff,home_corner_ema,away_corner_ema,home_shots_ema,away_shots_ema,home_xg_avg,away_xg_avg,home_xg_conceded_avg,away_xg_conceded_avg,home_bigchances_avg,away_bigchances_avg,home_corners_avg,away_corners_avg,home_crosses_avg,away_crosses_avg,home_shots_avg,away_shots_avg,home_possession_avg,away_possession_avg,home_saves_avg,away_saves_avg,home_fouls_avg,away_fouls_avg,home_sprints_avg,away_sprints_avg
2021-08-21,Inter,Genoa,4,0,H,2,0,H,17,11,8,5,8,2,18,7,17:30,-1.25,1.75,2.05,1.81,2.11,1.4,5.5,10.0,1.35,5.16,8.94,1,2,0,0,1.33,5.25,9.0,1.33,5.5,8.5,1.37,5.25,8.0,1.36,5.37,9.65,1.66,2.2,1.67,2.33,1.63,2.28,2021-22,Serie A,2.20707,0.967177,,1605.60009766,,,,,,,,,,3.0,0.8,7.0,2.4,5.8,3.0,19.4,7.2,59.8,46.6,3.0,3.6,13.0,12.6,,
2021-08-21,Verona,Sassuolo,2,3,A,0,1,A,12,15,4,8,7,4,11,12,17:30,0.0,1.93,2.0,1.93,1.99,2.74,3.55,2.79,2.61,3.43,2.69,3,2,1,0,2.62,3.3,2.62,2.55,3.5,2.7,2.6,3.45,2.7,2.66,3.55,2.75,1.9,2.03,1.87,2.04,1.85,1.98,2021-22,Serie A,2.25155,1.86679,1586.01818848,1698.12451172,-112.10632324000017,,,,,,,,,,1.6,,4.6,,3.0,,12.2,,53.2,,2.0,,12.0,,
2021-08-21,Empoli,Lazio,1,3,A,1,3,A,16,8,5,5,5,3,13,10,19:45,0.75,1.98,1.95,1.97,1.94,5.01,4.03,1.79,4.71,3.9,1.73,2,1,0,0,4.6,4.0,1.7,4.6,3.9,1.75,4.6,3.95,1.7,5.01,4.02,1.74,1.72,2.1,1.75,2.19,1.72,2.15,2021-22,Serie A,1.13436,1.78152,1544.4050293,1733.10595703,-188.70092772999988,,,,,,,,,1.2,2.2,6.0,1.8,3.4,0.6,14.0,7.0,48.0,45.0,5.6,3.2,13.0,12.2,,
2021-08-21,Torino,Atalanta,1,2,A,0,1,A,19,6,8,2,5,1,17,13,19:45,1.0,1.89,2.04,1.88,2.06,5.75,4.48,1.65,5.43,4.23,1.6,2,2,0,0,5.5,4.33,1.55,5.0,4.25,1.62,5.25,4.3,1.6,5.5,4.25,1.65,1.57,2.37,1.61,2.46,1.57,2.43,2021-22,Serie A,0.864837,1.01343,1586.97180176,1837.42102051,-250.44921875,,,,,,,,,2.6,2.0,3.8,5.4,3.6,4.6,12.8,15.2,54.4,51.0,3.4,1.6,15.6,15.2,,
2021-08-22,Bologna,Salernitana,3,2,H,0,0,D,18,8,7,4,9,4,13,15,17:30,-0.75,1.85,2.08,1.84,2.1,1.7,4.29,5.75,1.65,4.04,5.15,6,3,2,1,1.65,4.0,5.0,1.67,4.0,5.0,1.63,4.1,5.25,1.65,4.29,5.42,1.8,2.0,1.8,2.11,1.81,2.02,2021-22,Serie A,1.72577,1.63711,1594.2980957,1485.28222656,109.01586913999996,,,,,,,,,0.8,0.2,6.6,4.0,4.2,4.6,11.0,10.4,52.4,39.2,3.6,3.6,9.0,11.4,,
2021-08-22,Udinese,Juventus,2,2,D,0,2,A,11,11,6,4,3,3,11,12,17:30,1.0,2.05,1.75,2.15,1.79,8.0,4.5,1.53,7.21,4.35,1.47,1,3,0,0,7.5,4.33,1.45,7.5,4.5,1.44,7.5,4.4,1.45,7.59,4.48,1.49,1.72,2.1,1.79,2.13,1.77,2.08,2021-22,Serie A,2.08573,1.49379,1591.6270752,1849.92272949,-258.2956542899999,,,,,,,,,1.8,2.2,4.2,4.4,3.2,3.8,13.4,15.0,37.6,54.6,3.0,2.0,15.4,12.2,,
2021-08-22,Napoli,Venezia,2,0,H,0,0,D,13,8,4,4,2,2,5,22,19:45,-1.75,1.89,2.04,1.87,2.05,1.28,6.8,13.0,1.24,6.38,11.79,1,7,1,0,1.22,6.5,12.0,1.25,6.25,11.0,1.25,6.5,11.0,1.25,6.67,12.08,1.44,2.75,1.44,2.91,1.44,2.78,2021-22,Serie A,2.39159,0.60988,1804.35021973,1494.85656738,309.49365235000005,,,,,,,,,1.2,1.0,4.8,2.6,3.2,3.4,19.4,8.4,59.8,39.8,2.6,4.6,14.0,12.6,,
2021-08-22,Roma,Fiorentina,3,1,H,1,0,H,11,11,6,8,4,4,12,14,19:45,-0.75,2.02,1.91,2.02,1.9,1.82,4.03,4.75,1.77,3.85,4.5,3,2,1,1,1.72,3.8,4.75,1.72,4.0,4.6,1.75,3.95,4.3,1.81,3.96,4.59,1.66,2.2,1.72,2.23,1.68,2.2,2021-22,Serie A,2.75414,0.867167,1741.82531738,1629.33190918,112.49340819999998,,,,,,,,,2.0,1.4,5.4,4.6,4.2,6.0,13.6,9.4,41.2,55.0,1.8,1.8,12.4,12.6,,
2021-08-23,Cagliari,Spezia,2,2,D,0,1,A,16,13,10,6,11,4,17,17,17:30,-0.5,1.99,1.94,1.97,1.95,2.07,3.78,4.1,1.98,3.61,3.78,2,3,0,0,1.95,3.4,4.0,2.0,3.7,3.6,1.95,3.65,3.8,1.97,3.78,3.97,1.9,1.9,1.88,2.03,1.85,1.97,2021-22,Serie A,3.28935,1.03088,1589.3737793,1542.95117188,46.42260742000008,,,,,,,,,1.4,0.8,4.0,4.6,6.0,4.0,10.6,9.0,47.8,50.0,2.4,5.2,12.8,11.4,,
2021-08-23,Sampdoria,Milan,0,1,A,0,1,A,11,10,3,4,8,3,16,14,19:45,0.5,1.95,1.98,1.94,1.98,4.33,3.6,2.05,4.02,3.5,1.96,3,1,0,0,4.0,3.6,1.9,4.33,3.5,1.87,3.85,3.6,1.95,4.23,3.55,1.98,1.8,2.0,1.81,2.09,1.79,2.05,2021-22,Serie A,,,1644.00366211,1803.5604248,-159.5567626899999,,,,,,,,,2.0,1.8,4.8,4.0,5.4,4.8,13.8,14.0,45.0,58.4,2.2,3.4,12.6,12.8,,
